Lat,Lon,μ,ϕ,ξ
45.490685,-125.81296,0.0,0.0,0.0
45.532753,-125.70053,0.0,0.0,0.0
45.5747,-125.58789,0.0,0.0,0.0
45.616528,-125.4751,0.0,0.0,0.0
45.658226,-125.36211,0.0,0.0,0.0
45.69979,-125.24893,0.0,0.0,0.0
45.741234,-125.135605,0.0,0.0,0.0
45.78255,-125.022095,0.0,0.0,0.0
45.823742,-124.90839,0.0,0.0,0.0
45.864803,-124.794495,0.0,0.0,0.0
45.90573,-124.680435,0.0,0.0,0.0
45.946518,-124.56621,0.0,0.0,0.0
45.9872,-124.45178,0.0,0.0,0.0
46.027744,-124.33719,0.0,0.0,0.0
46.068142,-124.22241,0.0,0.0,0.0
46.108433,-124.10748,0.0,0.0,0.0
46.14859,-123.99231,0.0,0.0,0.0
46.188614,-123.877014,0.0,0.0,0.0
46.228497,-123.76152,0.0,0.0,0.0
46.268253,-123.64586,0.0,0.0,0.0
46.307877,-123.53,0.0,0.0,0.0
46.347374,-123.41397,0.0,0.0,0.0
46.38673,-123.29776,0.0,0.0,0.0
46.425953,-123.1814,0.0,0.0,0.0
46.46505,-123.06482,0.0,0.0,0.0
46.504,-122.94809,0.0,0.0,0.0
46.542828,-122.83116,0.0,0.0,0.0
46.58152,-122.714066,0.0,0.0,0.0
46.62007,-122.59677,0.0,0.0,0.0
46.658497,-122.479324,0.0,0.0,0.0
46.696777,-122.361694,0.0,0.0,0.0
46.73492,-122.2439,0.0,0.0,0.0
46.772934,-122.12593,0.0,0.0,0.0
46.810806,-122.00775,0.0,0.0,0.0
46.848537,-121.889404,0.0,0.0,0.0
46.886143,-121.770905,0.0,0.0,0.0
46.92359,-121.65222,0.0,0.0,0.0
46.96092,-121.533325,0.0,0.0,0.0
46.9981,-121.41431,0.0,0.0,0.0
47.035145,-121.295074,0.0,0.0,0.0
47.07205,-121.17569,0.0,0.0,0.0
47.108818,-121.05611,0.0,0.0,0.0
47.145435,-120.93637,0.0,0.0,0.0
47.181923,-120.81645,0.0,0.0,0.0
47.21826,-120.69635,0.0,0.0,0.0
47.25447,-120.57608,0.0,0.0,0.0
47.290527,-120.45563,0.0,0.0,0.0
47.326435,-120.33501,0.0,0.0,0.0
47.362213,-120.21422,0.0,0.0,0.0
47.39785,-120.09323,0.0,0.0,0.0
47.43334,-119.97211,0.0,0.0,0.0
47.46868,-119.8508,0.0,0.0,0.0
47.503876,-119.72934,0.0,0.0,0.0
47.53894,-119.607666,0.0,0.0,0.0
47.573856,-119.48581,0.0,0.0,0.0
47.608627,-119.3638,0.0,0.0,0.0
47.643246,-119.24164,0.0,0.0,0.0
47.67771,-119.11931,0.0,0.0,0.0
