Name,Province,ID,Lat,Lon,Elevation,Number of years,CSV filename,Original filename
SMITHERS A,BC,1077500,54.82,-127.18,521.0,47,1077500.csv,idf_v-3.20_2021_03_26_107_BC_1077500_SMITHERS_A.txt
LAJOIE DAM,BC,1084490,50.83,-122.87,685.0,48,1084490.csv,idf_v-3.20_2021_03_26_108_BC_1084490_LAJOIE_DAM.txt
PEMBERTON BCFS,BC,1086083,50.32,-122.82,218.0,49,1086083.csv,idf_v-3.20_2021_03_26_108_BC_1086083_PEMBERTON_BCFS.txt
PUNTZI MOUNTAIN (AUT),BC,1086558,52.12,-124.13,909.0,50,1086558.csv,idf_v-3.20_2021_03_26_108_BC_1086558_PUNTZI_MOUNTAIN_(AUT).txt
SOUTHBANK,BC,1087600,54.03,-125.77,730.0,51,1087600.csv,idf_v-3.20_2021_03_26_108_BC_1087600_SOUTHBANK.txt
BURNS LAKE,BC,1091169,54.23,-125.77,704.0,52,1091169.csv,idf_v-3.20_2021_03_26_109_BC_1091169_BURNS_LAKE.txt
FORT ST JAMES,BC,1092970,54.47,-124.28,691.0,53,1092970.csv,idf_v-3.20_2021_03_26_109_BC_1092970_FORT_ST_JAMES.txt
FORT ST JAMES A,BC,1092972,54.42,-124.25,716.0,54,1092972.csv,idf_v-3.20_2021_03_26_109_BC_1092972_FORT_ST_JAMES_A.txt
HORSEFLY BCFS,BC,1093599,52.33,-121.42,784.0,55,1093599.csv,idf_v-3.20_2021_03_26_109_BC_1093599_HORSEFLY_BCFS.txt
KERSLEY,BC,1094125,52.82,-122.37,670.0,56,1094125.csv,idf_v-3.20_2021_03_26_109_BC_1094125_KERSLEY.txt
MCBRIDE ELDER CREEK,BC,1094948,53.42,-120.35,733.0,57,1094948.csv,idf_v-3.20_2021_03_26_109_BC_1094948_MCBRIDE_ELDER_CREEK.txt
MCBRIDE NORTH,BC,1094955,53.37,-120.25,771.0,58,1094955.csv,idf_v-3.20_2021_03_26_109_BC_1094955_MCBRIDE_NORTH.txt
PRINCE GEORGE AIRPORT AUTO,BC,1096453,53.88,-122.67,680.0,59,1096453.csv,idf_v-3.20_2021_03_26_109_BC_1096453_PRINCE_GEORGE_AIRPORT_AUTO.txt
WILLIAMS LAKE A,BC,1098940,52.18,-122.05,939.0,60,1098940.csv,idf_v-3.20_2021_03_26_109_BC_1098940_WILLIAMS_LAKE_A.txt
ABBOTSFORD A,BC,1100030,49.03,-122.37,59.0,61,1100030.csv,idf_v-3.20_2021_03_26_110_BC_1100030_ABBOTSFORD_A.txt
AGASSIZ RCS,BC,1100119,49.23,-121.77,19.0,62,1100119.csv,idf_v-3.20_2021_03_26_110_BC_1100119_AGASSIZ_RCS.txt
ALOUETTE LAKE,BC,1100360,49.28,-122.48,117.0,63,1100360.csv,idf_v-3.20_2021_03_26_110_BC_1100360_ALOUETTE_LAKE.txt
WHISTLER - NESTERS,BC,1100875,50.13,-122.95,659.0,64,1100875.csv,idf_v-3.20_2021_03_26_110_BC_1100875_WHISTLER_-_NESTERS.txt
BUNTZEN LAKE,BC,1101140,49.38,-122.87,10.0,65,1101140.csv,idf_v-3.20_2021_03_26_110_BC_1101140_BUNTZEN_LAKE.txt
CHILLIWACK MICROWAVE,BC,1101562,49.12,-121.9,228.0,66,1101562.csv,idf_v-3.20_2021_03_26_110_BC_1101562_CHILLIWACK_MICROWAVE.txt
COQUITLAM LAKE,BC,1101890,49.37,-122.8,160.0,67,1101890.csv,idf_v-3.20_2021_03_26_110_BC_1101890_COQUITLAM_LAKE.txt
DELTA BURNS BOG,BC,1102415,49.13,-123.0,3.0,68,1102415.csv,idf_v-3.20_2021_03_26_110_BC_1102415_DELTA_BURNS_BOG.txt
HANEY MICROWAVE,BC,1103328,49.2,-122.52,320.0,69,1103328.csv,idf_v-3.20_2021_03_26_110_BC_1103328_HANEY_MICROWAVE.txt
HANEY UBC RF ADMIN,BC,1103332,49.27,-122.57,147.0,70,1103332.csv,idf_v-3.20_2021_03_26_110_BC_1103332_HANEY_UBC_RF_ADMIN.txt
HUNTINGDON VYE ROAD,BC,1103636,49.03,-122.2,25.0,71,1103636.csv,idf_v-3.20_2021_03_26_110_BC_1103636_HUNTINGDON_VYE_ROAD.txt
LANGLEY LOCHIEL,BC,1104555,49.05,-122.58,100.0,72,1104555.csv,idf_v-3.20_2021_03_26_110_BC_1104555_LANGLEY_LOCHIEL.txt
MISSION WEST ABBEY,BC,1105192,49.15,-122.27,197.0,73,1105192.csv,idf_v-3.20_2021_03_26_110_BC_1105192_MISSION_WEST_ABBEY.txt
N VANCOUVER LYNN CREEK,BC,1105660,49.37,-123.03,190.0,74,1105660.csv,idf_v-3.20_2021_03_26_110_BC_1105660_N_VANCOUVER_LYNN_CREEK.txt
PITT MEADOWS CS,BC,1106178,49.22,-122.68,5.0,75,1106178.csv,idf_v-3.20_2021_03_26_110_BC_1106178_PITT_MEADOWS_CS.txt
PITT POLDER,BC,1106180,49.27,-122.63,5.0,76,1106180.csv,idf_v-3.20_2021_03_26_110_BC_1106180_PITT_POLDER.txt
PORT COQUITLAM CITY YARD,BC,1106256,49.27,-122.78,6.0,77,1106256.csv,idf_v-3.20_2021_03_26_110_BC_1106256_PORT_COQUITLAM_CITY_YARD.txt
PORT MOODY GLENAYRE,BC,1106CL2,49.28,-122.88,129.0,78,1106CL2.csv,idf_v-3.20_2021_03_26_110_BC_1106CL2_PORT_MOODY_GLENAYRE.txt
SURREY KWANTLEN PARK,BC,1107873,49.18,-122.87,78.0,79,1107873.csv,idf_v-3.20_2021_03_26_110_BC_1107873_SURREY_KWANTLEN_PARK.txt
SURREY MUNICIPAL HALL,BC,1107876,49.12,-122.83,76.0,80,1107876.csv,idf_v-3.20_2021_03_26_110_BC_1107876_SURREY_MUNICIPAL_HALL.txt
VANCOUVER INTL A,BC,1108395,49.18,-123.18,4.0,81,1108395.csv,idf_v-3.20_2021_03_26_110_BC_1108395_VANCOUVER_INTL_A.txt
VANCOUVER HARBOUR CS,BC,1108446,49.3,-123.12,2.0,82,1108446.csv,idf_v-3.20_2021_03_26_110_BC_1108446_VANCOUVER_HARBOUR_CS.txt
VANCOUVER KITSILANO,BC,1108453,49.27,-123.17,12.0,83,1108453.csv,idf_v-3.20_2021_03_26_110_BC_1108453_VANCOUVER_KITSILANO.txt
VANCOUVER UBC,BC,1108487,49.25,-123.25,76.0,84,1108487.csv,idf_v-3.20_2021_03_26_110_BC_1108487_VANCOUVER_UBC.txt
WHITE ROCK CAMPBELL SCIENTIFIC,BC,1108910,49.02,-122.78,13.0,85,1108910.csv,idf_v-3.20_2021_03_26_110_BC_1108910_WHITE_ROCK_CAMPBELL_SCIENTIFIC.txt
BURNABY MTN BCHPA,BC,110JA54,49.28,-122.92,464.0,86,110JA54.csv,idf_v-3.20_2021_03_26_110_BC_110JA54_BURNABY_MTN_BCHPA.txt
N VANC SONORA DR,BC,110N6FF,49.37,-123.1,182.0,87,110N6FF.csv,idf_v-3.20_2021_03_26_110_BC_110N6FF_N_VANC_SONORA_DR.txt
HELLS GATE,BC,1113420,49.78,-121.45,121.0,88,1113420.csv,idf_v-3.20_2021_03_26_111_BC_1113420_HELLS_GATE.txt
HOPE A,BC,1113540,49.37,-121.5,39.0,89,1113540.csv,idf_v-3.20_2021_03_26_111_BC_1113540_HOPE_A.txt
LILLOOET,BC,1114619,50.68,-121.93,239.0,90,1114619.csv,idf_v-3.20_2021_03_26_111_BC_1114619_LILLOOET.txt
LYTTON,BC,1114741,50.23,-121.58,229.0,91,1114741.csv,idf_v-3.20_2021_03_26_111_BC_1114741_LYTTON.txt
SHALALTH,BC,1117215,50.73,-122.23,243.0,92,1117215.csv,idf_v-3.20_2021_03_26_111_BC_1117215_SHALALTH.txt
KELOWNA A,BC,1123970,49.97,-119.38,429.0,93,1123970.csv,idf_v-3.20_2021_03_26_112_BC_1123970_KELOWNA_A.txt
KELOWNA PC BURNETTS NURSERY,BC,1123992,49.87,-119.48,349.0,94,1123992.csv,idf_v-3.20_2021_03_26_112_BC_1123992_KELOWNA_PC_BURNETTS_NURSERY.txt
OLIVER STP,BC,1125766,49.18,-119.53,297.0,95,1125766.csv,idf_v-3.20_2021_03_26_112_BC_1125766_OLIVER_STP.txt
PENTICTON A,BC,1126150,49.47,-119.6,344.0,96,1126150.csv,idf_v-3.20_2021_03_26_112_BC_1126150_PENTICTON_A.txt
PRINCETON A,BC,1126510,49.47,-120.52,701.0,97,1126510.csv,idf_v-3.20_2021_03_26_112_BC_1126510_PRINCETON_A.txt
VERNON,BC,1128551,50.23,-119.28,556.0,98,1128551.csv,idf_v-3.20_2021_03_26_112_BC_1128551_VERNON.txt
SUMMERLAND CS,BC,112G8L1,49.57,-119.65,454.0,99,112G8L1.csv,idf_v-3.20_2021_03_26_112_BC_112G8L1_SUMMERLAND_CS.txt
