id x.crtm y.crtm x.wgs y.wgs basin number
10002 162150 614395 -87.0480313754264 5.54891556035834 10 2
69000 556917 1065082 -83.4813979075702 9.63194486049818 69 0
73011 513005 1098217 -83.8813963045899 9.93191918972069 73 11
73016 528539 1094478 -83.7397562996202 9.89803186855853 73 16
73026 518497 1079788 -83.8313948041295 9.76526452411582 73 26
73027 511186 1070570 -83.8980614496227 9.68194183814009 73 27
73028 531293 1083483 -83.7147284485818 9.79859658857631 73 28
73029 514840 1079787 -83.8647291898154 9.76527032767904 73 29
73030 523984 1077948 -83.7813905036966 9.74859898678528 73 30
73033 531315 1057679 -83.7147246765343 9.5652787692766 73 33
73036 525815 1074263 -83.7647247138831 9.71526839193489 73 36
73037 527645 1072421 -83.7480588581112 9.6986012982589 73 37
73038 520335 1063201 -83.8147232111657 9.61527652648503 73 38
73039 516674 1068729 -83.8480568839683 9.66527706057116 73 39
73040 520332 1068731 -83.814723301624 9.66527882992936 73 40
73041 503869 1083470 -83.9647290872295 9.7985968853949 73 41
73042 509354 1083471 -83.9147269407496 9.798597089271 73 42
73043 531312 1061366 -83.7147241958569 9.59861653672149 73 43
73044 542256 1089024 -83.6147317532403 9.84859830224536 73 44
73045 531296 1079797 -83.7147294971526 9.76526825001456 73 45
73046 522151 1085320 -83.7980576470199 9.81526631773121 73 46
73047 527632 1089010 -83.7480646085356 9.84859737425187 73 47
73051 523987 1072419 -83.7813955929372 9.69860606782076 73 51
73052 529468 1079795 -83.7313920084478 9.7652637032322 73 52
73053 523985 1076105 -83.7813922186506 9.73193469666737 73 53
73054 538606 1083490 -83.6480629021396 9.79859735970122 73 54
73055 547721 1103776 -83.5647298815285 9.98192017348679 73 55
73056 533120 1085328 -83.6980583492317 9.81526438783983 73 56
73057 533128 1076112 -83.6980605097461 9.73193457662422 73 57
73058 509349 1101902 -83.9147297454681 9.96524862974209 73 58
73059 514831 1101904 -83.8647298447422 9.96525024570365 73 59
73061 514831 1101904 -83.8647298447422 9.96525024570365 73 61
73063 533131 1072426 -83.698063015444 9.6986061568965 73 63
73069 511177 1101903 -83.8980570216523 9.9652530122189 73 69
73072 514831 1101904 -83.8647298447422 9.96525024570365 73 72
73073 523988 1070576 -83.7813972522744 9.68194172914547 73 73
73074 531277 1101915 -83.7147308685156 9.96525538993398 73 74
73075 522158 1072418 -83.798063988454 9.6986072368275 73 75
73079 531295 1081640 -83.7147244270813 9.7819324236156 73 79
73080 525826 1057675 -83.764728296111 9.56528002536271 73 80
73084 522149 1089006 -83.7980556831431 9.84859475357342 73 84
73085 527631 1090853 -83.7480610910037 9.86526151098115 73 85
73086 516668 1081631 -83.8480589973247 9.78193667163522 73 86
73088 514841 1077944 -83.8647267823924 9.74860598070973 73 88
73089 525816 1072420 -83.7647272156697 9.69860408829712 73 89
73093 505696 1094529 -83.9480583058251 9.89858956155814 73 93
