id	x	y
69644	421721	1140695
69646	421725	1142538
69648	418066	1138860
69650	467617	1127911
69652	464564	1132961
69654	422868	1135029
69656	433779	1145779
69658	487431	1129551
69660	395496	1163227
69662	433825	1146444
69664	461554	1157270
69668	485367	1128397
69670	479584	1124972
69674	485614	1125123
69676	442794	1133895
69678	444059	1125691
69680	442711	1138872
69682	479830	1136256
69684	400955	1167156
69686	472900	1141727
69688	481613	1130864
69692	391896	1164697
69694	479678	1132507
69696	480481	1140097
69698	478398	1137972
69700	481986	1132611
69702	526373	1190810
69706	469451	1132514
69902	391896	1164698
69903	390439	1165736
69904	399972	1158146
69905	398175	1159843
69906	330246	1225989
69907	330484	1223241
69908	322811	1222879
69909	326241	1225440
69984	1038294	9841154
69985	391308	1164096
69986	1115296	9820398
69987	1126099	9817599
69988	471095	1136472
69989	470978	1134702
69991	395504	1163227
69996	430031	1144754
69997	471735	1135225
69999	470791	1134628
72110	361368	1113227
72112	324145	1179679
72114	354094	1090625
72901	317612	1223823
73011	512758	1098287
73026	519516	1079321
73027	508809	1070627
73028	532026	1084384
73029	515545	1079716
73030	523887	1078021
73033	530340	1056923
73034	512118	10776500
73036	525680	1073849
73037	527481	1071647
73038	521265	1062892
73039	516587	1067347
73040	519407	1068286
73041	503779	1083363
73042	508451	1082155
73045	531797	1080958
73046	521408	1088065
73047	530578	1089381
73051	523893	1073004
73054	539466	1083305
73055	547326	1104391
73057	533078	1077280
73063	533053	1075577
73074	531734	1101439
73079	530908	1081980
73080	527118	1057076
73084	521639	1088059
73088	515259	1078255
73096	539308	1105282
73097	534959	1108275
73098	542733	1106643
73100	525810	1081636
73101	542261	1085337
73102	525791	1107440
73104	512328	1087821
73108	542250	1094553
73112	510342	1094195
73114	513004	1101904
73116	538153	1085357
73118	501385	1088229
73120	538598	1090863
73122	536771	1090861
73124	543863	1083557
73126	506166	1086050
73128	546921	1114605
73130	514534	1082643
73132	520079	1096904
73134	518083	1098816
73136	512407	1096130
73140	544180	1113504
73142	549487	1109958
73144	539094	1109031
73146	511542	1092682
73148	509318	1099417
73150	509905	1089472
73987	517340	1078751
73988	533346	1090843
73995	523864	1082385
73997	515343	1081447
74019	349225	1189170
74033	345886	1195907
74036	351066	1190047
74038	328068	1135575
74042	352377	1191675
74044	346298	1197625
74046	312215	1162296
74901	337083	1201543
74902	334741	1198021
74903	339382	1200972
74904	338290	1196680
74999	338403	1152627
75002	554974	1117731
75003	548976	1085956
75004	552954	1085760
75005	548005	1096856
75007	554454	1081852
75008	542563	1078422
75022	558061	1110457
75028	547729	1094835
76006	387649	1168817
76012	381027	1173261
76013	394555	1148334
76018	391276	1159006
76020	390171	1153068
76021	382412	1156788
76022	395833	1155187
76024	388090	1159385
76026	362644	1165175
76029	371679	1180397
76032	378639	1165869
76033	356985	1170892
76034	368250	1180310
76036	372979	1180190
76038	376946	1152664
76040	379538	1157327
76044	369460	1183395
76048	370729	1173317
76050	371677	1180394
76060	368111	1145322
76801	378624	1155212
76902	399750	1152062
76903	401219	1151895
76904	396056	1159938
76905	389718	1171547
76906	366773	1188357
76907	511530	1102150
76908	370708	1185562
76909	400411	1156296
77001	572384	1114576
78002	412074	1138896
78012	426723	1129689
78018	422584	1108087
78020	416767	1110915
78801	324409	1179532
79005	559748	1085443
79010	565145	1081677
79012	573563	1103438
79014	568142	1080949
80005	440335	1111497
80007	430786	1106472
81012	598392	1105165
84018	525077	1050661
84034	461559	1098660
84043	482983	1114001
84063	474523	1124292
84096	488902	1099386
84100	456339	1087182
84101	467333	1114818
84102	3890699	1279734
84103	469153	1107444
84104	476462	1109281
84105	487423	1105590
84106	489248	1100060
84110	467318	1098230
84114	502969	1099062
84116	491073	1089000
84118	502969	1099062
84120	481937	1096376
84122	497079	1107388
84124	502778	1104916
84126	469134	1085326
84128	478285	1101908
84130	490123	1100491
84136	488441	1089576
