Année,5min,10min,15min,30min,1h,2h,6h,12h,24h
1983,,,,,8.6,12.2,19.3,22.2,27.5
1984,3.5,4.4,5.1,5.8,9.3,14.7,29.5,37.2,44.3
1985,1.8,2.4,2.8,4.1,7.3,12.9,23.4,37.2,44.5
1986,2.3,2.9,4.2,4.9,6.4,8.4,17.9,21.2,37.3
1987,2.7,4.4,5.5,7.5,9.9,13.0,21.2,32.8,44.9
1988,1.7,3.1,3.8,5.5,8.8,15.3,36.2,45.6,49.4
1989,3.0,3.4,3.6,4.8,6.6,8.8,16.2,24.5,31.4
1990,3.3,4.0,4.4,5.7,9.4,13.0,25.9,36.3,37.6
1991,2.1,2.8,3.8,5.9,7.7,10.9,26.8,38.7,57.7
1992,1.3,1.9,2.3,3.5,5.3,7.5,13.0,,
2014,,,,,9.0,15.3,22.5,37.2,43.9
