Année,5min,10min,15min,30min,1h,2h,6h,12h,24h
1983,,,,,7.6,14.1,28.1,38.1,63.6
1984,,,,,7.2,13.4,24.4,35.4,46.2
1985,,,,,9.5,13.6,26.2,32.8,38.8
1986,,,,,8.7,15.5,36.9,46.0,63.6
1987,,,,,8.3,13.5,19.8,26.0,38.8
1988,,,,,7.8,10.7,24.2,31.8,37.9
1989,,,,,8.8,15.2,15.6,23.8,27.1
1990,,,,,8.6,15.6,27.9,46.3,61.7
1991,,,,,11.0,11.6,22.3,38.4,54.5
1992,,,,,7.4,9.9,23.7,33.6,42.7
2013,0.8,1.4,2.0,3.2,6.0,10.6,24.4,38.6,42.4
2014,2.6,3.2,3.6,6.0,8.2,10.2,25.0,35.6,40.8
2016,1.6,2.2,3.2,5.0,9.0,13.2,31.6,46.4,54.2
2017,4.0,6.6,8.2,11.4,14.4,19.6,29.4,35.8,52.0
