Année,5min,10min,15min,30min,1h,2h,6h,12h,24h
1969,4.3,7.9,8.6,10.4,17.5,34.5,79.5,131.3,193.8
1970,3.0,5.8,8.4,15.2,25.4,41.7,72.9,80.8,87.6
1971,4.1,7.9,11.4,15.5,27.9,45.0,80.8,97.8,137.9
1972,3.0,5.1,7.1,13.5,20.8,27.7,66.8,80.8,104.1
1973,4.8,7.6,8.6,10.2,16.3,28.4,67.3,99.1,174.0
1974,5.3,7.1,7.4,10.2,17.0,21.3,44.4,79.8,136.9
1975,3.8,4.6,5.6,10.2,16.3,20.8,48.0,83.8,129.3
1976,2.5,4.1,4.8,8.6,14.5,23.1,50.8,72.4,97.0
1977,3.0,5.1,6.6,10.4,14.2,21.6,51.8,90.2,108.2
1978,7.3,8.4,9.9,13.0,20.7,30.5,76.4,116.0,210.3
2005,4.0,6.2,8.2,13.2,18.8,23.0,60.0,90.0,117.0
2006,4.8,8.4,11.6,17.4,19.8,30.4,51.8,78.4,98.6
2007,4.2,6.0,7.4,10.0,17.2,29.6,60.6,91.0,107.4
2008,2.8,3.8,4.4,7.0,13.6,26.0,52.2,68.4,80.4
2009,5.0,6.6,7.6,10.2,15.0,26.6,65.4,88.4,131.4
2010,4.6,7.2,8.6,13.6,15.0,22.6,46.0,73.6,92.0
2011,4.4,6.4,9.4,15.8,25.2,31.4,47.2,64.4,100.0
2013,7.0,9.2,12.0,15.4,18.6,23.0,53.6,82.6,101.6
2014,4.2,6.2,8.0,10.4,13.6,23.6,49.8,72.8,95.4
2015,7.8,15.0,20.2,26.8,34.8,40.6,61.2,76.0,105.2
2016,6.0,8.4,11.2,16.2,22.4,32.6,83.8,101.2,111.6
2017,3.0,5.2,7.0,10.8,12.4,17.2,37.6,55.2,89.8
