Année,5min,10min,15min,30min,1h,2h,6h,12h,24h
1963,1.3,2.3,2.8,4.3,8.1,12.7,24.9,40.4,61.7
1964,2.0,2.5,3.0,3.8,6.9,12.4,27.9,39.1,55.9
1965,1.3,2.3,3.0,5.6,7.9,10.9,22.9,30.7,42.2
1966,2.5,4.3,5.8,7.1,8.1,10.7,20.1,31.5,43.2
1967,3.6,5.1,6.3,7.4,9.1,14.2,26.2,41.9,65.3
1968,2.3,3.6,4.1,7.9,9.7,12.2,23.6,40.6,59.9
1969,3.0,5.3,6.1,10.9,13.0,14.7,20.8,26.4,41.1
1970,2.0,3.0,3.8,5.6,7.9,12.2,21.6,22.9,32.8
1971,2.3,4.6,5.1,6.3,7.9,14.0,19.8,36.8,41.9
1975,,,,,5.3,10.2,23.6,40.9,64.8
1976,,,,,6.3,12.7,21.1,25.7,32.3
1977,,,,,8.6,12.7,22.4,29.7,30.2
1978,,,,,10.6,16.2,20.3,20.3,20.6
2010,2.0,3.2,4.2,6.6,9.2,13.6,29.0,44.4,53.2
2011,3.2,3.8,4.2,6.6,9.2,14.4,22.4,33.4,47.0
2012,2.0,3.4,4.4,7.2,10.2,14.8,27.6,34.8,45.4
2013,7.8,11.2,11.4,11.4,12.4,14.8,28.8,43.8,57.0
2014,4.0,5.8,6.8,7.6,11.8,20.0,40.0,57.2,70.2
2015,2.8,3.4,4.8,6.2,9.2,14.2,33.6,50.4,61.2
2016,7.0,8.4,9.0,10.6,12.6,15.2,18.8,27.2,35.4
