Année,5min,10min,15min,30min,1h,2h,6h,12h,24h
1969,2.5,3.8,5.1,6.3,6.6,8.4,19.6,27.2,37.8
1970,2.8,4.3,4.6,4.8,5.8,8.1,11.9,12.4,13.5
1971,2.8,5.3,7.4,7.9,10.9,11.4,11.9,12.2,21.1
1972,2.8,4.1,5.8,8.1,8.4,8.4,9.1,10.2,11.2
1973,3.0,3.8,3.8,4.1,4.1,4.1,6.6,8.4,14.0
1974,3.6,6.3,8.1,11.4,12.7,16.3,18.3,27.2,29.2
1975,3.0,5.1,7.6,8.6,9.1,9.9,12.7,20.6,30.5
1976,3.0,5.1,5.6,5.8,6.9,8.4,12.7,19.3,20.8
1978,,,,,9.2,12.5,23.8,24.8,25.4
2012,4.0,4.8,5.4,6.0,6.4,6.8,11.6,17.8,17.8
2013,2.4,3.0,3.4,4.2,5.8,9.8,16.8,19.6,23.0
2014,3.0,4.2,4.6,5.4,8.0,10.0,16.4,19.0,23.4
2015,1.6,3.0,3.6,4.6,5.8,8.0,9.8,16.4,16.4
2016,2.8,4.4,6.6,7.0,7.0,10.6,18.4,23.2,26.2
2017,1.8,2.6,3.0,4.6,7.2,7.6,7.6,10.4,10.6
