Année,5min,10min,15min,30min,1h,2h,6h,12h,24h
2006,2.0,3.2,3.8,5.4,7.6,14.0,31.8,42.4,48.8
2007,8.4,8.6,11.8,21.4,24.8,35.4,60.4,74.6,103.8
2008,2.4,4.6,6.4,9.0,12.0,20.8,26.2,30.2,37.8
2009,2.8,3.8,4.2,7.4,11.6,18.6,36.4,41.6,60.4
2010,2.2,3.6,4.6,6.6,9.6,14.4,26.4,40.6,66.6
2011,1.8,2.8,3.2,5.2,6.8,10.2,20.8,37.2,52.6
2012,2.4,3.8,5.4,7.8,9.4,11.4,25.4,42.8,58.4
2013,2.0,3.4,4.6,5.8,8.0,12.4,20.8,31.2,41.0
2014,3.0,4.4,5.6,10.4,13.6,20.4,46.2,58.6,61.6
2015,3.2,3.8,4.2,6.4,8.6,12.2,22.8,27.0,33.0
2016,2.6,4.0,5.4,8.6,11.4,15.4,23.6,32.4,48.2
2017,1.8,2.6,3.4,5.8,9.2,15.0,26.4,29.8,51.8
