Lat,Lon,GridCell,q
45.126106,-125.96707,1,86.52649052610695
45.168346,-125.855576,2,86.02814659576853
45.210472,-125.74391,3,86.33729363852756
45.252472,-125.632034,4,87.31196071947824
45.29434,-125.520004,5,87.92049199565079
45.336082,-125.40781,6,89.17879687378212
45.377712,-125.29538,7,90.47795010035642
45.41921,-125.182816,8,91.62945197863911
45.460575,-125.07007,9,92.97860449971303
45.50181,-124.95715,10,94.73235118769867
45.542927,-124.844055,11,96.51094532581367
45.583916,-124.730774,12,98.55710288635478
45.624775,-124.61731,13,100.60820252098664
45.6655,-124.50369,14,103.39755656766825
45.706104,-124.38989,15,106.11859691968338
45.74658,-124.27588,16,110.59588830932161
45.786926,-124.16174,17,120.05652999626253
45.82713,-124.04739,18,135.5098535841426
45.86721,-123.93289,19,148.32501990901548
45.907177,-123.81818,20,148.4973132556132
45.946995,-123.70332,21,138.99908469996106
45.98669,-123.58829,22,127.17959595296304
46.02624,-123.47307,23,114.45541605051459
46.065674,-123.357666,24,103.67551125288853
46.10496,-123.242096,25,98.52313845970052
46.14413,-123.12634,26,99.21877826384113
46.18316,-123.01044,27,99.11750068674709
46.222054,-122.89433,28,98.5559306477808
46.26082,-122.778046,29,102.31518091459046
46.299442,-122.66159,30,113.01433758237775
46.33794,-122.54498,31,124.53562790686632
46.376293,-122.42816,32,131.6836279579601
46.414524,-122.31119,33,133.3706078015014
46.45261,-122.194046,34,127.1406626023186
46.490562,-122.07672,35,118.63269683159652
46.528378,-121.95923,36,117.48998220078124
46.56606,-121.84155,37,122.5963936194672
46.603603,-121.723694,38,124.86255864679329
46.641006,-121.60567,39,118.21266262590963
46.678276,-121.48747,40,99.96465926580728
46.715405,-121.369095,41,76.03814871178915
46.75239,-121.25058,42,55.923134958443775
46.78924,-121.13187,43,42.7174517562489
46.825954,-121.01297,44,36.42794203231535
46.862537,-120.893875,45,35.19796162214688
46.89897,-120.77466,46,34.5769136485571
46.935265,-120.65526,47,32.01425008932045
46.971405,-120.53569,48,29.935137361877818
47.007427,-120.415924,49,32.77340814362135
47.0433,-120.29602,50,37.17077660027856
47.07903,-120.1759,51,36.836002127620276
47.114613,-120.05565,52,31.719645005963315
47.150063,-119.93518,53,27.813139056802868
47.185364,-119.814606,54,28.129403630090653
47.22052,-119.69382,55,30.16816389146346
