Lat,Lon,GridCell,q
45.12610626220703,-125.96707153320312,1,72.15980104064424
45.1683464050293,-125.85557556152344,2,72.73715246844455
45.210472106933594,-125.74391174316406,3,73.76714092821628
45.252471923828125,-125.63203430175781,4,74.47654818419218
45.29433822631836,-125.52000427246094,5,74.89457809840218
45.336082458496094,-125.40780639648438,6,75.70265678586117
45.37771224975586,-125.29537963867188,7,76.50203104764127
45.41920852661133,-125.18281555175781,8,77.32354548259462
45.460575103759766,-125.070068359375,9,78.56163725582259
45.501808166503906,-124.9571533203125,10,80.66688562937873
45.54292678833008,-124.84405517578125,11,82.48885020881663
45.58391571044922,-124.73077392578125,12,84.57338869069157
45.62477493286133,-124.6173095703125,13,87.25660310837888
45.66550064086914,-124.50369262695312,14,90.97472015088506
45.70610427856445,-124.389892578125,15,96.62192372080521
45.746578216552734,-124.27587890625,16,106.79163436226408
45.78692626953125,-124.1617431640625,17,128.10427483040095
45.82712936401367,-124.04739379882812,18,159.9929288846552
45.867210388183594,-123.93289184570312,19,182.5083675800874
45.90717697143555,-123.81817626953125,20,177.6513483621252
45.94699478149414,-123.70332336425781,21,154.47824195822804
45.986690521240234,-123.58828735351562,22,131.94986742158525
46.026241302490234,-123.47306823730469,23,109.77730140115997
46.065673828125,-123.357666015625,24,98.37119363549088
46.10496139526367,-123.24209594726562,25,98.05962701835305
46.14413070678711,-123.1263427734375,26,101.82119906816804
46.18315887451172,-123.01043701171875,27,103.480408455635
46.22205352783203,-122.89433288574219,28,101.27262129112343
46.26081848144531,-122.77804565429688,29,100.70142062448299
46.299442291259766,-122.66159057617188,30,110.68796342681966
46.33794021606445,-122.54498291015625,31,128.3577908797904
46.37629318237305,-122.42816162109375,32,143.12567317814504
46.41452407836914,-122.31118774414062,33,139.51605831738067
46.45261001586914,-122.19404602050781,34,129.75935303498798
46.490562438964844,-122.07672119140625,35,126.68858537601967
46.528377532958984,-121.959228515625,36,131.6225499981537
46.56605911254883,-121.841552734375,37,136.22853454034689
46.60360336303711,-121.72369384765625,38,156.69042857882522
46.64100646972656,-121.60566711425781,39,161.18568842462417
46.67827606201172,-121.48747253417969,40,122.64286383250231
46.71540451049805,-121.36909484863281,41,83.06012271166495
46.75239181518555,-121.25057983398438,42,58.670313629635764
46.789241790771484,-121.13186645507812,43,50.65218431353064
46.82595443725586,-121.01296997070312,44,46.64905160234889
46.8625373840332,-120.89387512207031,45,45.189734716139476
46.89897155761719,-120.774658203125,46,45.85720528854127
46.935264587402344,-120.65525817871094,47,44.33176295294374
46.971405029296875,-120.53569030761719,48,45.29525137563684
47.00742721557617,-120.41592407226562,49,45.61886712518514
47.04330062866211,-120.2960205078125,50,46.410152319577726
47.07902908325195,-120.1759033203125,51,46.90392941011993
47.1146125793457,-120.05564880371094,52,46.09476199845839
47.150062561035156,-119.9351806640625,53,43.49830640584524
47.18536376953125,-119.81460571289062,54,42.424449892012596
47.22052001953125,-119.69381713867188,55,43.03534917608055
47.255523681640625,-119.5728759765625,56,42.95488465901014
47.2904052734375,-119.45176696777344,57,42.43677282864692
47.325138092041016,-119.3304443359375,58,41.73875332774477
47.359718322753906,-119.20901489257812,59,42.128978954632636
47.39414978027344,-119.08737182617188,60,42.81842138557181
47.428443908691406,-118.965576171875,61,43.79898503814893
47.46259307861328,-118.8436279296875,62,44.7986471189651
47.4965934753418,-118.72149658203125,63,45.40000991726535
47.53044891357422,-118.59918212890625,64,45.811453201134235
47.56415939331055,-118.47671508789062,65,46.50206773965475
47.59772491455078,-118.35406494140625,66,46.76863053636783
47.631134033203125,-118.23127746582031,67,47.70061864572233
47.66440200805664,-118.10830688476562,68,47.88557605870227
47.697513580322266,-117.98516845703125,69,47.89941612987695
47.730491638183594,-117.86184692382812,70,47.83196956531289
47.763309478759766,-117.73838806152344,71,48.459915148713755
47.79597854614258,-117.61476135253906,72,50.72865896890696
47.82849884033203,-117.490966796875,73,52.54896719656619
47.86087417602539,-117.36700439453125,74,59.12212252553475
47.89310073852539,-117.24288940429688,75,65.7567985359313
47.925167083740234,-117.11859130859375,76,62.336422125959366
47.95709228515625,-116.994140625,77,59.24446562798668
47.98886489868164,-116.8695068359375,78,56.76715846000053
48.020477294921875,-116.74472045898438,79,56.72729840272607
48.05194091796875,-116.61981201171875,80,61.2214459432228
48.083255767822266,-116.49472045898438,81,67.25413202535613
48.114418029785156,-116.36944580078125,82,71.56753854828533
48.145423889160156,-116.24398803710938,83,90.59802125430218
48.17627716064453,-116.118408203125,84,93.13806893318595
48.20697784423828,-115.99267578125,85,84.18164463012437
48.23752212524414,-115.86677551269531,86,74.36818660071634
48.26791763305664,-115.74069213867188,87,57.96253270106528
48.298160552978516,-115.614501953125,88,53.74502760183053
48.32823944091797,-115.48808288574219,89,49.303300256200124
48.35816955566406,-115.361572265625,90,48.020600756421736
48.38794708251953,-115.23484802246094,91,48.141223263765475
48.41755676269531,-115.10800170898438,92,48.440453925412235
48.4470100402832,-114.98101806640625,93,49.295222538445444
48.476322174072266,-114.85385131835938,94,50.09010204607344
48.50546646118164,-114.72648620605469,95,49.74044926779078
48.534454345703125,-114.59902954101562,96,52.48281381646052
48.56328201293945,-114.47140502929688,97,54.04252965440041
48.591949462890625,-114.3436279296875,98,52.54320822398625
48.6204719543457,-114.21568298339844,99,53.825134025125436
48.64883041381836,-114.08758544921875,100,56.501940464562296
48.67702102661133,-113.9593505859375,101,67.52732886279259
48.705055236816406,-113.83094787597656,102,81.76549768898784
48.732933044433594,-113.702392578125,103,74.32176009313011
48.760658264160156,-113.57369995117188,104,68.54805012580097
48.788204193115234,-113.44486999511719,105,65.32133329360974
48.81559753417969,-113.31588745117188,106,63.27757499800925
48.842838287353516,-113.18673706054688,107,65.24001879993676
48.869911193847656,-113.05741882324219,108,66.13505445086294
48.89683151245117,-112.927978515625,109,62.94934778358668
48.9235725402832,-112.79840087890625,110,59.68148113145963
48.95016098022461,-112.66867065429688,111,58.235676368283265
48.976585388183594,-112.53878784179688,112,57.75412247409412
45.20534133911133,-126.02761840820312,113,71.25569921997881
45.247650146484375,-125.91598510742188,114,72.02625681495441
45.28984069824219,-125.80418395996094,115,73.55478449147908
45.331912994384766,-125.69216918945312,116,75.18245012239599
45.373844146728516,-125.58000183105469,117,76.45144464093008
45.41565704345703,-125.4676513671875,118,76.78068075957796
45.45735168457031,-125.35513305664062,119,77.1260093897742
45.49890899658203,-125.24240112304688,120,78.14017430430164
45.54034423828125,-125.1295166015625,121,79.69636441814943
45.581642150878906,-125.0164794921875,122,81.12748913435188
45.62282943725586,-124.90322875976562,123,82.0776444582747
45.66389083862305,-124.78982543945312,124,83.64342810054781
45.70481491088867,-124.67620849609375,125,85.85607919796388
45.745609283447266,-124.56243896484375,126,88.70056111166144
45.786277770996094,-124.44850158691406,127,92.76612165437248
45.82681655883789,-124.3343505859375,128,99.91194018653292
45.867225646972656,-124.22006225585938,129,112.96324083630839
45.907501220703125,-124.1055908203125,130,133.23660153804175
45.947654724121094,-123.99093627929688,131,147.39870960642776
45.9876823425293,-123.87603759765625,132,146.21992064848573
46.02756881713867,-123.76104736328125,133,138.4620197921452
46.06732177734375,-123.6458740234375,134,122.63536771160408
46.1069450378418,-123.53048706054688,135,111.44970828378791
46.14643859863281,-123.41494750976562,136,110.05675870463008
46.185791015625,-123.29922485351562,137,116.1336285616975
46.22502899169922,-123.18331909179688,138,127.59363139038926
46.26411819458008,-123.06724548339844,139,117.26510833144513
46.30308151245117,-122.95098876953125,140,100.11940606527445
46.341915130615234,-122.83454895019531,141,88.83923659331758
46.38059997558594,-122.71795654296875,142,93.79192508094417
46.41916275024414,-122.60118103027344,143,108.63387980439762
46.45758056640625,-122.48422241210938,144,134.26851604786458
46.495880126953125,-122.3670654296875,145,156.97580131513917
46.534027099609375,-122.249755859375,146,157.28478845501078
46.572044372558594,-122.13226318359375,147,140.28116716789728
46.609920501708984,-122.01461791992188,148,145.2291803567443
46.64767074584961,-121.89678955078125,149,171.37469177288443
46.68527603149414,-121.77877807617188,150,223.26905909847872
46.722747802734375,-121.66058349609375,151,210.089721610071
46.76008224487305,-121.542236328125,152,151.34362192286576
46.79726791381836,-121.42367553710938,153,85.08781989399411
46.83432388305664,-121.30496215820312,154,61.19718981239249
46.871238708496094,-121.18609619140625,155,45.74822220746944
46.90800857543945,-121.06704711914062,156,45.572860945841256
46.94466018676758,-120.94778442382812,157,43.26080001206461
46.98115539550781,-120.82839965820312,158,44.64288363929632
47.01750946044922,-120.70881652832031,159,44.497785080339824
47.05371856689453,-120.58908081054688,160,45.76674102899606
47.08980178833008,-120.46914672851562,161,47.60154705730901
47.125736236572266,-120.34904479980469,162,49.13795908902228
47.161521911621094,-120.228759765625,163,47.50203136990759
47.197174072265625,-120.10833740234375,164,46.29223089297947
47.23268127441406,-119.98770141601562,165,43.92879072596981
47.268043518066406,-119.866943359375,166,42.26784607107755
47.303260803222656,-119.7459716796875,167,42.14706023421167
47.33833694458008,-119.62484741210938,168,42.70265533203414
47.37327194213867,-119.50357055664062,169,42.79224140250907
47.40806579589844,-119.382080078125,170,41.87962290058851
47.442710876464844,-119.26045227050781,171,41.826290351530666
47.477210998535156,-119.13864135742188,172,42.413931993490515
47.511558532714844,-119.01666259765625,173,43.83341533542146
47.545772552490234,-118.89450073242188,174,44.40948763781307
47.579830169677734,-118.77220153808594,175,45.137788570209246
47.61375045776367,-118.64968872070312,176,45.62807808031709
47.647518157958984,-118.52705383300781,177,46.12977905098799
47.6811408996582,-118.40422058105469,178,46.42242608189037
47.71461486816406,-118.28121948242188,179,46.70384959062581
47.7479362487793,-118.1580810546875,180,47.34907056313461
47.7811164855957,-118.03475952148438,181,48.384844721542564
47.81415557861328,-117.91123962402344,182,50.008192878638376
47.8470344543457,-117.78759765625,183,50.28119604914978
47.87975311279297,-117.66377258300781,184,51.78829899220488
47.91233825683594,-117.53977966308594,185,53.24782745872415
47.944766998291016,-117.41561889648438,186,58.389454712296086
47.977054595947266,-117.29129028320312,187,63.05540276719697
48.009178161621094,-117.16680908203125,188,62.963704280179435
48.04115676879883,-117.04214477539062,189,59.51913449603944
48.07299041748047,-116.91732788085938,190,54.510646483492025
48.10466766357422,-116.7923583984375,191,57.06163977652593
48.13618469238281,-116.66722106933594,192,58.955815274236336
48.16755294799805,-116.54193115234375,193,65.23155637009206
48.19877243041992,-116.41647338867188,194,75.6031808719873
48.22984313964844,-116.29080200195312,195,94.9288462419327
48.2607536315918,-116.16502380371094,196,96.99450302912567
48.29151153564453,-116.03909301757812,197,81.77029071036874
48.322113037109375,-115.91297912597656,198,66.3445773167918
48.352561950683594,-115.78669738769531,199,54.06506386299606
48.38285446166992,-115.6602783203125,200,50.64273954116672
48.41299819946289,-115.53366088867188,201,48.422791041844086
48.4429817199707,-115.40692138671875,202,47.01161865329817
48.472808837890625,-115.27999877929688,203,50.242031075841396
48.50248336791992,-115.15293884277344,204,50.1994743472851
48.53199005126953,-115.02572631835938,205,49.2296372769649
48.56135559082031,-114.89836120605469,206,49.29752626057454
48.59055709838867,-114.77081298828125,207,50.90762838113823
48.61959457397461,-114.64309692382812,208,53.62279622428777
48.648475646972656,-114.51527404785156,209,52.94685292755606
48.67720031738281,-114.38728332519531,210,54.57272745803161
48.705780029296875,-114.25912475585938,211,53.361167942663535
48.73418426513672,-114.13081359863281,212,56.351196941473354
48.76243591308594,-114.00234985351562,213,65.99049703834149
48.790523529052734,-113.87373352050781,214,77.25921066102383
48.818458557128906,-113.74496459960938,215,72.55351741494043
48.846229553222656,-113.61604309082031,216,66.15123689020017
48.87383270263672,-113.48698425292969,217,66.12426666699133
48.901283264160156,-113.35777282714844,218,65.70852761730931
48.92856216430664,-113.22840881347656,219,66.45507473708042
48.955692291259766,-113.09886169433594,220,66.25909928369552
48.982662200927734,-112.96920776367188,221,61.44368154472509
49.00946044921875,-112.83940124511719,222,59.251923274371485
49.03609085083008,-112.70944213867188,223,58.613354087369025
49.06257247924805,-112.57931518554688,224,59.13017448555864
45.2845458984375,-126.08831787109375,225,70.39045957967849
45.326927185058594,-125.9765625,226,70.76597242350343
45.36917495727539,-125.8646240234375,227,71.83147881498579
45.411312103271484,-125.75247192382812,228,73.22769546145086
45.45331573486328,-125.64016723632812,229,75.13680396054455
45.49519348144531,-125.52769470214844,230,76.44027199458463
45.53695297241211,-125.41502380371094,231,77.60111889635743
45.57858657836914,-125.30215454101562,232,78.73291196705158
45.62008285522461,-125.18914794921875,233,79.3147069439384
45.66145706176758,-125.07595825195312,234,80.50020814280741
45.70270919799805,-124.96258544921875,235,81.81575024489403
45.743831634521484,-124.8489990234375,236,83.0810747303192
45.784820556640625,-124.73526000976562,237,85.17486165564334
45.825679779052734,-124.62136840820312,238,87.74986039395358
45.86641311645508,-124.50726318359375,239,90.92986075763125
45.90703201293945,-124.39297485351562,240,95.9728502161964
45.9474983215332,-124.27853393554688,241,103.87677246619975
45.98783874511719,-124.16390991210938,242,115.24712288687903
46.028053283691406,-124.04913330078125,243,125.92955922191942
46.06814956665039,-123.93411254882812,244,131.62767907105683
46.10810089111328,-123.81893920898438,245,130.29854421380657
46.147926330566406,-123.70359802246094,246,126.25738409683036
46.1876106262207,-123.58810424804688,247,128.8775300739392
46.227176666259766,-123.47238159179688,248,142.98177834565982
46.26659393310547,-123.35650634765625,249,161.02188962328242
46.30589294433594,-123.24044799804688,250,161.05571523271826
46.34505081176758,-123.12423706054688,251,130.26685534302058
46.38407897949219,-123.0078125,252,97.40615310407473
46.422977447509766,-122.8912353515625,253,85.169586155305
46.461727142333984,-122.77447509765625,254,89.51174563681667
46.50035095214844,-122.65753173828125,255,110.252386645971
46.538841247558594,-122.54042053222656,256,148.77667385009676
46.57720184326172,-122.423095703125,257,180.40159613819762
46.61541748046875,-122.30564880371094,258,160.0486788063736
46.653499603271484,-122.18800354003906,259,144.52003094795603
46.691444396972656,-122.0701904296875,260,155.571997744137
46.729251861572266,-121.95217895507812,261,236.2528591358535
46.76692581176758,-121.83399963378906,262,321.9448911130098
46.80446243286133,-121.71566772460938,263,258.1542026298109
46.841854095458984,-121.59713745117188,264,137.45621074708117
46.87910842895508,-121.47842407226562,265,73.42510828675722
