Lat,Lon,GridCell,q
45.126106,-125.96707,1,75.13826287500444
45.168346,-125.855576,2,74.63783008843133
45.210472,-125.74391,3,74.80852808434436
45.252472,-125.632034,4,75.36386376746579
45.29434,-125.520004,5,75.92226442849065
45.336082,-125.40781,6,76.52850020078769
45.377712,-125.29538,7,77.20327436089079
45.41921,-125.182816,8,78.13482565170428
45.460575,-125.07007,9,79.22793886940725
45.50181,-124.95715,10,80.48194997498018
45.542927,-124.844055,11,81.83104698205214
45.583916,-124.730774,12,83.50131765962341
45.624775,-124.61731,13,85.4499418132008
45.6655,-124.50369,14,88.07423341660727
45.706104,-124.38989,15,91.03253738559668
45.74658,-124.27588,16,95.34434368769054
45.786926,-124.16174,17,105.27373425575372
45.82713,-124.04739,18,125.35245720138396
45.86721,-123.93289,19,143.62491584018483
45.907177,-123.81818,20,144.17016024862593
45.946995,-123.70332,21,127.46649654855827
45.98669,-123.58829,22,110.77662672919382
46.02624,-123.47307,23,98.09039414253748
46.065674,-123.357666,24,88.17365176367964
46.10496,-123.242096,25,85.15440160081444
46.14413,-123.12634,26,85.70540768474332
46.18316,-123.01044,27,87.33569077476558
46.222054,-122.89433,28,87.8981339309625
46.26082,-122.778046,29,90.75000581002845
46.299442,-122.66159,30,102.20247193614077
46.33794,-122.54498,31,116.89883828110375
46.376293,-122.42816,32,127.6191031073306
46.414524,-122.31119,33,126.85441686435007
46.45261,-122.194046,34,119.87646527036367
46.490562,-122.07672,35,114.0461245436442
46.528378,-121.95923,36,112.85752726179942
46.56606,-121.84155,37,108.61274714111197
46.603603,-121.723694,38,120.48083549412607
46.641006,-121.60567,39,112.07192848945974
46.678276,-121.48747,40,83.95281022639651
46.715405,-121.369095,41,62.601462417654794
46.75239,-121.25058,42,50.0849580620538
46.78924,-121.13187,43,49.22035307769219
46.825954,-121.01297,44,46.85461023619541
46.862537,-120.893875,45,45.76696949488489
46.89897,-120.77466,46,46.532290511609574
46.935265,-120.65526,47,45.23093703688113
46.971405,-120.53569,48,46.916116020001034
47.007427,-120.415924,49,47.238904675704816
47.0433,-120.29602,50,47.65494727475127
47.07903,-120.1759,51,47.507434794807814
47.114613,-120.05565,52,47.51006577082599
47.150063,-119.93518,53,46.587303135750325
47.185364,-119.814606,54,46.50313094727919
47.22052,-119.69382,55,47.18611635488652
47.255524,-119.572876,56,47.40854388868987
47.290405,-119.45177,57,47.15275930757993
47.325138,-119.330444,58,46.97768830708541
47.35972,-119.209015,59,47.43186852279119
47.39415,-119.08737,60,47.494468843053994
47.428444,-118.965576,61,47.77545324868938
47.462593,-118.84363,62,47.942618963555404
47.496593,-118.7215,63,48.61061319298131
47.53045,-118.59918,64,48.93646415428993
47.56416,-118.476715,65,49.05397051255347
47.597725,-118.354065,66,49.76104865972993
47.631134,-118.23128,67,49.926560889271336
47.664402,-118.10831,68,50.16929220988293
47.697514,-117.98517,69,50.683809480913155
47.73049,-117.86185,70,50.87153542174111
47.76331,-117.73839,71,51.301600924213815
47.79598,-117.61476,72,52.99289649044695
47.8285,-117.49097,73,53.47943581809258
47.860874,-117.367004,74,58.50271000919375
47.8931,-117.24289,75,64.01593876399401
47.925167,-117.11859,76,61.40879879647449
47.957092,-116.99414,77,61.17286760450713
47.988865,-116.86951,78,59.683766994182825
48.020477,-116.74472,79,59.93432399762564
48.05194,-116.61981,80,63.48310907657206
48.083256,-116.49472,81,69.71262818619583
48.114418,-116.369446,82,73.5041030400414
48.145424,-116.24399,83,94.13300801954266
48.176277,-116.11841,84,100.26087472271863
48.206978,-115.992676,85,87.37333673712153
48.237522,-115.866776,86,78.1486005555337
48.267918,-115.74069,87,61.617471799197396
48.29816,-115.6145,88,57.12173481885
48.32824,-115.48808,89,51.85016032314672
48.35817,-115.36157,90,50.09686121169286
48.387947,-115.23485,91,49.91358089346414
48.417557,-115.108,92,50.74141284442038
48.44701,-114.98102,93,52.323257783700804
48.476322,-114.85385,94,52.766932499766696
48.505466,-114.72649,95,52.19840398611043
48.534454,-114.59903,96,57.394414719053515
48.563282,-114.471405,97,61.953657778494524
48.59195,-114.34363,98,60.354512654784926
48.620472,-114.21568,99,60.1305593762598
48.64883,-114.087585,100,63.75496009279268
48.67702,-113.95935,101,76.50432504289434
48.705055,-113.83095,102,89.04069265369452
48.732933,-113.70239,103,74.83707833250307
48.76066,-113.5737,104,61.06236003883507
48.788204,-113.44487,105,55.69344261926331
48.815598,-113.31589,106,52.406184971541514
48.84284,-113.18674,107,51.749218720170255
48.86991,-113.05742,108,51.311052477084594
48.89683,-112.92798,109,50.688192804386574
48.923573,-112.7984,110,50.61750470296927
48.95016,-112.66867,111,50.3094126486271
48.976585,-112.53879,112,50.579157402242444
45.20534,-126.02762,113,82.155050069424
45.24765,-125.915985,114,81.9710261172097
45.28984,-125.804184,115,82.35862216541763
45.331913,-125.69217,116,82.64174480584064
45.373844,-125.58,117,82.89407289729087
45.415657,-125.46765,118,83.73621166107982
45.45735,-125.35513,119,84.29911068429044
45.49891,-125.2424,120,84.54174950434447
45.540344,-125.12952,121,85.21278475966363
45.581642,-125.01648,122,86.35021883121243
45.62283,-124.90323,123,87.0568322427003
45.66389,-124.789825,124,88.59933672918245
45.704815,-124.67621,125,89.64103574336794
45.74561,-124.56244,126,91.21453332448746
45.786278,-124.4485,127,93.4850759245371
45.826817,-124.33435,128,96.38512795062488
45.867226,-124.22006,129,101.52445175230413
45.9075,-124.10559,130,111.5836285538319
45.947655,-123.99094,131,124.10967064056322
45.987682,-123.87604,132,126.84037029835183
46.02757,-123.76105,133,124.97817814252926
46.06732,-123.645874,134,113.6728900638706
46.106945,-123.53049,135,105.36570861118857
46.14644,-123.41495,136,100.49658519039738
46.18579,-123.299225,137,98.82658708553531
46.22503,-123.18332,138,104.92724446348099
46.26412,-123.067245,139,95.67760980926573
46.30308,-122.95099,140,87.46517055835844
46.341915,-122.83455,141,82.69197420418485
46.3806,-122.71796,142,88.02896051783746
46.419163,-122.60118,143,98.63894863077456
46.45758,-122.48422,144,117.12697888702506
46.49588,-122.367065,145,136.63652554239096
46.534027,-122.249756,146,141.41740745854125
46.572044,-122.13226,147,122.20524276857918
46.60992,-122.01462,148,124.47890189405358
46.64767,-121.89679,149,140.26999489616782
46.685276,-121.77878,150,167.54253862079278
46.722748,-121.66058,151,136.53028930866435
46.760082,-121.54224,152,98.19059172339978
46.797268,-121.423676,153,62.43002536000562
46.834324,-121.30496,154,52.066654730754905
46.87124,-121.1861,155,43.57035455751136
