Lat,Lon,GridCell,q
45.126106,-125.96707,1,77.88795557731562
45.168346,-125.855576,2,77.06747007904023
45.210472,-125.74391,3,76.88906510556826
45.252472,-125.632034,4,77.62320143979949
45.29434,-125.520004,5,78.33752992004456
45.336082,-125.40781,6,79.34819586790923
45.377712,-125.29538,7,80.07648472996152
45.41921,-125.182816,8,80.95372408709258
45.460575,-125.07007,9,82.31591324279589
45.50181,-124.95715,10,82.9875073926874
45.542927,-124.844055,11,84.73934263372577
45.583916,-124.730774,12,86.08709109855951
45.624775,-124.61731,13,87.48744180608888
45.6655,-124.50369,14,89.64649808389458
45.706104,-124.38989,15,92.5632875691083
45.74658,-124.27588,16,95.08542766305952
45.786926,-124.16174,17,100.27057355253106
45.82713,-124.04739,18,113.74909560813067
45.86721,-123.93289,19,124.62030129838978
45.907177,-123.81818,20,121.85848672053301
45.946995,-123.70332,21,113.91167743206962
45.98669,-123.58829,22,106.79568703870486
46.02624,-123.47307,23,98.28829500110385
46.065674,-123.357666,24,89.05808909397619
46.10496,-123.242096,25,85.10242996121201
46.14413,-123.12634,26,87.11925844667583
46.18316,-123.01044,27,88.79422004619934
46.222054,-122.89433,28,88.39580320719116
46.26082,-122.778046,29,90.0721282708863
46.299442,-122.66159,30,98.40012563050618
46.33794,-122.54498,31,107.60413206769421
46.376293,-122.42816,32,111.28454714039367
46.414524,-122.31119,33,112.17180612780052
46.45261,-122.194046,34,106.8002581030627
46.490562,-122.07672,35,99.89999617077504
46.528378,-121.95923,36,103.62359874479246
46.56606,-121.84155,37,106.22018847536867
46.603603,-121.723694,38,105.29943604664383
46.641006,-121.60567,39,100.41804376641774
46.678276,-121.48747,40,85.94484895346716
46.715405,-121.369095,41,67.9746279338257
46.75239,-121.25058,42,52.29823437839088
46.78924,-121.13187,43,41.10643225873227
46.825954,-121.01297,44,36.46406740844435
46.862537,-120.893875,45,37.002325837693576
46.89897,-120.77466,46,38.148635412440015
46.935265,-120.65526,47,34.73993644543085
46.971405,-120.53569,48,31.3288865162638
47.007427,-120.415924,49,32.98520834425504
47.0433,-120.29602,50,39.602044632086674
47.07903,-120.1759,51,40.39847962540602
47.114613,-120.05565,52,34.54696204921052
47.150063,-119.93518,53,30.003330662486604
47.185364,-119.814606,54,31.81362731697942
47.22052,-119.69382,55,35.377067240129875
47.255524,-119.572876,56,35.278234737254905
47.290405,-119.45177,57,34.136969300435936
47.325138,-119.330444,58,34.477514686244376
47.35972,-119.209015,59,36.197770999464645
47.39415,-119.08737,60,37.73978325124661
47.428444,-118.965576,61,38.72946777118337
47.462593,-118.84363,62,40.27997727387477
47.496593,-118.7215,63,42.2912605732879
47.53045,-118.59918,64,44.28338556764393
47.56416,-118.476715,65,45.62349006395841
47.597725,-118.354065,66,46.48018585910952
47.631134,-118.23128,67,47.841462832678275
47.664402,-118.10831,68,49.067646722821
47.697514,-117.98517,69,49.738794525352496
47.73049,-117.86185,70,50.05316966721918
47.76331,-117.73839,71,52.1629526566268
