basin,station,source,date,dur,int,date_time
69,678,D,2004-12-31,5,3.6,2005-01-01T06:00:00Z
69,678,D,2004-12-31,60,0.3,2005-01-01T06:00:00Z
69,678,D,2004-12-31,120,0.15,2005-01-01T05:00:00Z
69,678,D,2004-12-31,180,0.167,2005-01-01T06:00:00Z
69,678,D,2004-12-31,360,0.383,2005-01-01T08:00:00Z
69,678,D,2004-12-31,720,0.25,2005-01-01T05:00:00Z
69,678,D,2004-12-31,1440,0.138,2005-01-01T06:00:00Z
69,678,D,2005-01-01,5,3.6,2005-01-01T06:00:00Z
69,678,D,2005-01-01,10,1.8,2005-01-01T12:15:00Z
69,678,D,2005-01-01,15,2,2005-01-01T12:15:00Z
69,678,D,2005-01-01,30,1.6,2005-01-01T12:00:00Z
69,678,D,2005-01-01,60,1,2005-01-01T11:35:00Z
69,678,D,2005-01-01,120,0.75,2005-01-01T11:35:00Z
69,678,D,2005-01-01,180,0.6,2005-01-01T11:00:00Z
69,678,D,2005-01-01,360,0.383,2005-01-01T08:00:00Z
69,678,D,2005-01-01,720,0.25,2005-01-01T06:00:00Z
69,678,D,2005-01-01,1440,0.138,2005-01-01T06:00:00Z
69,678,D,2005-01-02,5,3.6,2005-01-02T06:05:00Z
69,678,D,2005-01-02,10,1.8,2005-01-02T06:00:00Z
69,678,D,2005-01-02,15,1.2,2005-01-02T06:00:00Z
69,678,D,2005-01-02,30,0.6,2005-01-02T10:40:00Z
69,678,D,2005-01-02,60,0.3,2005-01-02T06:00:00Z
69,678,D,2005-01-02,120,0.15,2005-01-02T06:00:00Z
69,678,D,2005-01-02,180,0.167,2005-01-03T01:00:00Z
69,678,D,2005-01-02,360,0.133,2005-01-03T01:00:00Z
69,678,D,2005-01-02,720,0.083,2005-01-02T19:00:00Z
69,678,D,2005-01-02,1440,0.054,2005-01-02T06:00:00Z
69,678,D,2005-01-03,5,3.6,2005-01-03T06:30:00Z
69,678,D,2005-01-03,10,1.8,2005-01-03T10:50:00Z
69,678,D,2005-01-03,15,1.2,2005-01-03T10:50:00Z
69,678,D,2005-01-03,30,0.6,2005-01-03T06:30:00Z
69,678,D,2005-01-03,60,0.3,2005-01-03T06:00:00Z
69,678,D,2005-01-03,120,0.15,2005-01-03T06:00:00Z
69,678,D,2005-01-03,180,0.167,2005-01-04T08:00:00Z
69,678,D,2005-01-03,360,0.633,2005-01-04T09:00:00Z
69,678,D,2005-01-03,720,0.342,2005-01-04T05:00:00Z
69,678,D,2005-01-03,1440,0.192,2005-01-04T06:00:00Z
69,678,D,2005-01-04,5,3.6,2005-01-04T09:45:00Z
69,678,D,2005-01-04,10,3,2005-01-04T11:25:00Z
69,678,D,2005-01-04,15,2,2005-01-04T11:25:00Z
69,678,D,2005-01-04,30,2,2005-01-04T11:50:00Z
69,678,D,2005-01-04,60,1.8,2005-01-04T11:25:00Z
69,678,D,2005-01-04,120,1.15,2005-01-04T10:50:00Z
69,678,D,2005-01-04,180,0.933,2005-01-04T10:50:00Z
