basin,station,source,date,dur,int,date_time
74,46,D,2013-07-31,720,0.167,2013-08-01T11:00:00Z
74,46,D,2013-07-31,1440,0.083,2013-07-31T23:00:00Z
74,46,D,2013-08-01,5,12,2013-08-01T22:40:00Z
74,46,D,2013-08-01,10,10.8,2013-08-01T22:40:00Z
74,46,D,2013-08-01,15,7.2,2013-08-01T22:40:00Z
74,46,D,2013-08-01,30,3.6,2013-08-01T22:40:00Z
74,46,D,2013-08-01,60,2,2013-08-01T22:00:00Z
74,46,D,2013-08-01,120,1,2013-08-01T21:00:00Z
74,46,D,2013-08-01,180,0.667,2013-08-01T20:00:00Z
74,46,D,2013-08-01,360,0.333,2013-08-01T17:00:00Z
74,46,D,2013-08-01,720,0.167,2013-08-01T11:00:00Z
74,46,D,2013-08-01,1440,0.083,2013-08-01T06:00:00Z
74,46,D,2014-01-22,5,9.6,2014-01-23T19:50:00Z
74,46,D,2014-01-22,10,4.8,2014-01-23T19:50:00Z
74,46,D,2014-01-22,15,3.2,2014-01-23T19:50:00Z
74,46,D,2014-01-23,5,9.6,2014-01-23T19:50:00Z
74,46,D,2014-01-23,10,4.8,2014-01-23T19:50:00Z
74,46,D,2014-01-23,15,3.2,2014-01-23T19:50:00Z
74,46,D,2014-02-17,720,0.025,2014-02-18T08:00:00Z
74,46,D,2014-02-17,1440,0.013,2014-02-17T20:00:00Z
74,46,D,2014-02-18,5,3.6,2014-02-18T19:15:00Z
74,46,D,2014-02-18,30,0.6,2014-02-18T19:00:00Z
74,46,D,2014-02-18,60,0.3,2014-02-18T19:00:00Z
74,46,D,2014-02-18,120,0.15,2014-02-18T18:00:00Z
74,46,D,2014-02-18,180,0.1,2014-02-18T17:00:00Z
74,46,D,2014-02-18,360,0.05,2014-02-18T14:00:00Z
74,46,D,2014-02-18,720,0.025,2014-02-18T08:00:00Z
74,46,D,2014-02-18,1440,0.013,2014-02-18T06:00:00Z
74,46,D,2014-03-19,720,0.025,2014-03-20T07:00:00Z
74,46,D,2014-03-19,1440,0.013,2014-03-19T19:00:00Z
74,46,D,2014-03-20,5,3.6,2014-03-20T18:45:00Z
74,46,D,2014-03-20,60,0.3,2014-03-20T18:00:00Z
74,46,D,2014-03-20,120,0.15,2014-03-20T17:00:00Z
74,46,D,2014-03-20,180,0.1,2014-03-20T16:00:00Z
74,46,D,2014-03-20,360,0.05,2014-03-20T13:00:00Z
74,46,D,2014-03-20,720,0.025,2014-03-20T07:00:00Z
74,46,D,2014-04-28,720,4.467,2014-04-29T15:00:00Z
74,46,D,2014-04-28,1440,2.233,2014-04-29T03:00:00Z
74,46,D,2014-04-29,5,85.2,2014-04-30T01:15:00Z
74,46,D,2014-04-29,10,74.4,2014-04-30T01:15:00Z
74,46,D,2014-04-29,15,73.2,2014-04-30T01:15:00Z
74,46,D,2014-04-29,30,68,2014-04-30T01:15:00Z
74,46,D,2014-04-29,60,44.2,2014-04-30T01:10:00Z
74,46,D,2014-04-29,120,23.1,2014-04-30T01:00:00Z
74,46,D,2014-04-29,180,15.4,2014-04-30T00:00:00Z
74,46,D,2014-04-29,360,8.933,2014-04-29T21:00:00Z
74,46,D,2014-04-29,720,4.467,2014-04-29T15:00:00Z
74,46,D,2014-04-29,1440,2.242,2014-04-29T13:00:00Z
74,46,D,2014-04-30,5,6,2014-05-01T00:10:00Z
74,46,D,2014-04-30,10,3,2014-04-30T23:15:00Z
74,46,D,2014-04-30,15,3.2,2014-05-01T00:00:00Z
74,46,D,2014-04-30,30,1,2014-04-30T23:00:00Z
74,46,D,2014-04-30,60,1.3,2014-04-30T23:15:00Z
74,46,D,2014-04-30,120,0.65,2014-04-30T23:00:00Z
74,46,D,2014-04-30,180,0.433,2014-04-30T22:00:00Z
74,46,D,2014-04-30,360,0.217,2014-04-30T19:00:00Z
74,46,D,2014-04-30,720,0.108,2014-04-30T13:00:00Z
74,46,D,2014-04-30,1440,0.062,2014-04-30T06:00:00Z
74,46,D,2014-05-01,5,3.6,2014-05-01T13:05:00Z
74,46,D,2014-05-01,10,1.8,2014-05-01T13:00:00Z
74,46,D,2014-05-01,15,1.2,2014-05-01T13:00:00Z
74,46,D,2014-05-01,60,0.3,2014-05-01T13:00:00Z
74,46,D,2014-05-01,120,0.15,2014-05-01T12:00:00Z
74,46,D,2014-05-01,180,0.1,2014-05-01T11:00:00Z
74,46,D,2014-05-01,360,0.05,2014-05-01T08:00:00Z
74,46,D,2014-05-01,720,0.467,2014-05-02T12:00:00Z
74,46,D,2014-05-01,1440,0.233,2014-05-02T00:00:00Z
74,46,D,2014-05-02,5,15.6,2014-05-02T22:25:00Z
74,46,D,2014-05-02,10,12,2014-05-02T22:20:00Z
74,46,D,2014-05-02,15,12,2014-05-02T22:15:00Z
74,46,D,2014-05-02,30,9.2,2014-05-02T22:05:00Z
74,46,D,2014-05-02,60,5.3,2014-05-02T22:00:00Z
74,46,D,2014-05-02,120,2.8,2014-05-02T22:00:00Z
74,46,D,2014-05-02,180,1.867,2014-05-02T21:00:00Z
74,46,D,2014-05-02,360,0.933,2014-05-02T18:00:00Z
74,46,D,2014-05-02,720,0.467,2014-05-02T12:00:00Z
74,46,D,2014-05-02,1440,0.242,2014-05-02T13:00:00Z
74,46,D,2014-05-03,5,3.6,2014-05-03T12:25:00Z
74,46,D,2014-05-03,30,0.6,2014-05-03T12:00:00Z
74,46,D,2014-05-03,60,0.3,2014-05-03T12:00:00Z
74,46,D,2014-05-03,120,0.15,2014-05-03T11:00:00Z
74,46,D,2014-05-03,180,0.1,2014-05-03T10:00:00Z
74,46,D,2014-05-03,360,0.05,2014-05-03T07:00:00Z
74,46,D,2014-05-03,720,0.025,2014-05-03T06:00:00Z
74,46,D,2014-05-03,1440,0.013,2014-05-03T06:00:00Z
74,46,D,2014-05-05,720,0.042,2014-05-06T15:00:00Z
74,46,D,2014-05-05,1440,0.021,2014-05-06T03:00:00Z
74,46,D,2014-05-06,5,6,2014-05-07T02:30:00Z
74,46,D,2014-05-06,30,1,2014-05-07T02:30:00Z
74,46,D,2014-05-06,60,0.5,2014-05-07T02:00:00Z
74,46,D,2014-05-06,120,0.25,2014-05-07T01:00:00Z
74,46,D,2014-05-06,180,0.167,2014-05-07T00:00:00Z
74,46,D,2014-05-06,360,0.083,2014-05-06T21:00:00Z
74,46,D,2014-05-06,720,0.067,2014-05-07T00:00:00Z
74,46,D,2014-05-06,1440,0.033,2014-05-06T12:00:00Z
74,46,D,2014-05-07,5,3.6,2014-05-07T11:55:00Z
74,46,D,2014-05-07,60,0.3,2014-05-07T11:00:00Z
74,46,D,2014-05-07,120,0.15,2014-05-07T10:00:00Z
74,46,D,2014-05-07,180,0.1,2014-05-07T09:00:00Z
74,46,D,2014-05-07,360,0.05,2014-05-07T06:00:00Z
