basin,station,source,date,dur,int,date_time
98,59,D,2006-10-04,5,43.2,2006-10-04T20:35:00Z
98,59,D,2006-10-04,10,36.6,2006-10-04T20:35:00Z
98,59,D,2006-10-04,15,34.4,2006-10-04T20:35:00Z
98,59,D,2006-10-04,30,27,2006-10-04T20:25:00Z
98,59,D,2006-10-04,60,20.8,2006-10-04T20:25:00Z
98,59,D,2006-10-04,120,14.2,2006-10-04T20:15:00Z
98,59,D,2006-10-04,180,10.5,2006-10-04T20:05:00Z
98,59,D,2006-10-04,360,5.383,2006-10-04T20:00:00Z
98,59,D,2006-10-04,720,2.692,2006-10-04T20:00:00Z
98,59,D,2006-10-04,1440,1.396,2006-10-04T20:15:00Z
98,59,D,2006-10-05,5,9.6,2006-10-05T20:10:00Z
98,59,D,2006-10-05,10,7.8,2006-10-05T20:10:00Z
98,59,D,2006-10-05,15,6,2006-10-05T20:00:00Z
98,59,D,2006-10-05,30,5,2006-10-05T20:00:00Z
98,59,D,2006-10-05,60,3,2006-10-05T20:00:00Z
98,59,D,2006-10-05,120,1.5,2006-10-05T19:00:00Z
98,59,D,2006-10-05,180,1,2006-10-05T18:00:00Z
98,59,D,2006-10-05,360,0.5,2006-10-05T15:00:00Z
98,59,D,2006-10-05,720,6.075,2006-10-06T11:00:00Z
98,59,D,2006-10-05,1440,3.038,2006-10-05T23:00:00Z
98,59,D,2006-10-06,5,97.2,2006-10-06T18:55:00Z
98,59,D,2006-10-06,10,91.2,2006-10-06T18:50:00Z
98,59,D,2006-10-06,15,84.4,2006-10-06T18:50:00Z
98,59,D,2006-10-06,30,74.2,2006-10-06T18:35:00Z
98,59,D,2006-10-06,60,57.4,2006-10-06T18:20:00Z
98,59,D,2006-10-06,120,34.3,2006-10-06T18:05:00Z
98,59,D,2006-10-06,180,23.2,2006-10-06T18:05:00Z
98,59,D,2006-10-06,360,12.15,2006-10-06T17:00:00Z
98,59,D,2006-10-06,720,6.075,2006-10-06T11:00:00Z
98,59,D,2006-10-06,1440,3.038,2006-10-06T06:00:00Z
98,59,D,2006-10-07,5,36,2006-10-07T22:15:00Z
98,59,D,2006-10-07,10,33.6,2006-10-07T22:15:00Z
98,59,D,2006-10-07,15,23.2,2006-10-07T22:10:00Z
98,59,D,2006-10-07,30,13.8,2006-10-07T22:05:00Z
98,59,D,2006-10-07,60,7.9,2006-10-07T22:00:00Z
98,59,D,2006-10-07,120,5.35,2006-10-07T22:05:00Z
98,59,D,2006-10-07,180,3.8,2006-10-07T20:40:00Z
98,59,D,2006-10-07,360,3,2006-10-07T18:00:00Z
98,59,D,2006-10-07,720,1.542,2006-10-07T16:00:00Z
98,59,D,2006-10-07,1440,0.771,2006-10-07T06:00:00Z
98,59,D,2006-10-08,5,6,2006-10-08T20:55:00Z
98,59,D,2006-10-08,10,4.8,2006-10-08T20:55:00Z
98,59,D,2006-10-08,15,3.2,2006-10-08T20:55:00Z
98,59,D,2006-10-08,30,2,2006-10-08T23:00:00Z
98,59,D,2006-10-08,60,1.8,2006-10-08T23:00:00Z
98,59,D,2006-10-08,120,1.65,2006-10-08T23:00:00Z
98,59,D,2006-10-08,180,1.367,2006-10-08T21:55:00Z
98,59,D,2006-10-08,360,0.883,2006-10-08T21:55:00Z
98,59,D,2006-10-08,720,0.783,2006-10-09T13:00:00Z
98,59,D,2006-10-08,1440,0.625,2006-10-08T20:00:00Z
98,59,D,2006-10-09,5,33.6,2006-10-09T19:25:00Z
98,59,D,2006-10-09,10,27.6,2006-10-09T19:25:00Z
98,59,D,2006-10-09,15,21.2,2006-10-09T19:20:00Z
98,59,D,2006-10-09,30,11.6,2006-10-09T19:15:00Z
98,59,D,2006-10-09,60,7.1,2006-10-09T18:35:00Z
98,59,D,2006-10-09,120,4.05,2006-10-09T18:25:00Z
98,59,D,2006-10-09,180,2.8,2006-10-09T16:45:00Z
98,59,D,2006-10-09,360,1.483,2006-10-09T15:00:00Z
98,59,D,2006-10-09,720,6.475,2006-10-10T16:00:00Z
98,59,D,2006-10-09,1440,3.25,2006-10-10T04:00:00Z
98,59,D,2006-10-10,5,85.2,2006-10-10T22:50:00Z
98,59,D,2006-10-10,10,82.2,2006-10-10T22:50:00Z
98,59,D,2006-10-10,15,82.4,2006-10-10T22:50:00Z
98,59,D,2006-10-10,30,73.6,2006-10-10T22:45:00Z
98,59,D,2006-10-10,60,53.1,2006-10-10T22:25:00Z
98,59,D,2006-10-10,120,31.75,2006-10-10T22:20:00Z
98,59,D,2006-10-10,180,22.867,2006-10-10T22:20:00Z
98,59,D,2006-10-10,360,12.95,2006-10-10T22:00:00Z
98,59,D,2006-10-10,720,6.475,2006-10-10T16:00:00Z
98,59,D,2006-10-10,1440,3.854,2006-10-10T22:00:00Z
98,59,D,2006-10-11,5,63.6,2006-10-11T20:25:00Z
98,59,D,2006-10-11,10,59.4,2006-10-11T20:20:00Z
98,59,D,2006-10-11,15,41.6,2006-10-11T20:20:00Z
98,59,D,2006-10-11,30,27,2006-10-11T20:20:00Z
98,59,D,2006-10-11,60,14.2,2006-10-11T20:00:00Z
98,59,D,2006-10-11,120,7.25,2006-10-11T20:00:00Z
98,59,D,2006-10-11,180,5,2006-10-11T20:20:00Z
98,59,D,2006-10-11,360,2.75,2006-10-11T20:00:00Z
98,59,D,2006-10-11,720,2.008,2006-10-12T13:00:00Z
98,59,D,2006-10-11,1440,1.058,2006-10-11T23:45:00Z
98,59,D,2006-10-12,5,51.6,2006-10-12T22:35:00Z
98,59,D,2006-10-12,10,41.4,2006-10-12T22:35:00Z
98,59,D,2006-10-12,15,36.4,2006-10-12T22:25:00Z
98,59,D,2006-10-12,30,31,2006-10-12T22:20:00Z
98,59,D,2006-10-12,60,21.1,2006-10-12T22:20:00Z
98,59,D,2006-10-12,120,11.2,2006-10-12T21:30:00Z
98,59,D,2006-10-12,180,7.867,2006-10-12T21:15:00Z
98,59,D,2006-10-12,360,4.017,2006-10-12T19:00:00Z
98,59,D,2006-10-12,720,2.708,2006-10-13T17:00:00Z
98,59,D,2006-10-12,1440,2.171,2006-10-12T22:20:00Z
98,59,D,2006-10-13,5,61.2,2006-10-13T21:45:00Z
98,59,D,2006-10-13,10,54.6,2006-10-13T21:45:00Z
98,59,D,2006-10-13,15,44.8,2006-10-13T21:40:00Z
98,59,D,2006-10-13,30,32,2006-10-13T21:35:00Z
98,59,D,2006-10-13,60,19.8,2006-10-13T21:35:00Z
98,59,D,2006-10-13,120,15.1,2006-10-13T20:25:00Z
98,59,D,2006-10-13,180,10.667,2006-10-13T20:25:00Z
98,59,D,2006-10-13,360,5.333,2006-10-13T18:00:00Z
98,59,D,2006-10-13,720,3.217,2006-10-14T17:00:00Z
98,59,D,2006-10-13,1440,1.904,2006-10-14T06:00:00Z
98,59,D,2006-10-14,5,63.6,2006-10-14T21:10:00Z
98,59,D,2006-10-14,10,61.2,2006-10-14T21:05:00Z
98,59,D,2006-10-14,15,56.8,2006-10-14T21:05:00Z
98,59,D,2006-10-14,30,30,2006-10-14T21:00:00Z
98,59,D,2006-10-14,60,15.2,2006-10-14T21:00:00Z
98,59,D,2006-10-14,120,9.4,2006-10-15T03:15:00Z
98,59,D,2006-10-14,180,8.3,2006-10-15T02:30:00Z
98,59,D,2006-10-14,360,5.083,2006-10-15T00:00:00Z
98,59,D,2006-10-14,720,4.442,2006-10-15T16:00:00Z
98,59,D,2006-10-14,1440,3.333,2006-10-15T02:30:00Z
98,59,D,2006-10-15,5,39.6,2006-10-15T22:55:00Z
98,59,D,2006-10-15,10,31.8,2006-10-15T22:50:00Z
98,59,D,2006-10-15,15,29.6,2006-10-15T23:20:00Z
98,59,D,2006-10-15,30,22.8,2006-10-15T23:15:00Z
98,59,D,2006-10-15,60,21.1,2006-10-15T22:35:00Z
98,59,D,2006-10-15,120,16.65,2006-10-15T22:10:00Z
98,59,D,2006-10-15,180,12.967,2006-10-15T21:40:00Z
98,59,D,2006-10-15,360,8.55,2006-10-15T20:05:00Z
98,59,D,2006-10-15,720,4.933,2006-10-15T21:55:00Z
98,59,D,2006-10-15,1440,2.888,2006-10-15T14:00:00Z
98,59,D,2006-10-16,5,15.6,2006-10-16T07:45:00Z
98,59,D,2006-10-16,10,13.8,2006-10-16T09:10:00Z
98,59,D,2006-10-16,15,12,2006-10-16T09:05:00Z
98,59,D,2006-10-16,30,11.2,2006-10-16T08:50:00Z
