basin,station,source,date,dur,int,date_time
84,120,D,2000-12-23,720,0.025,2000-12-24T14:00:00Z
84,120,D,2000-12-23,1440,0.013,2000-12-24T02:00:00Z
84,120,D,2000-12-24,5,3.6,2000-12-25T01:45:00Z
84,120,D,2000-12-24,15,1.2,2000-12-25T01:45:00Z
84,120,D,2000-12-24,60,0.3,2000-12-25T01:00:00Z
84,120,D,2000-12-24,120,0.15,2000-12-25T00:00:00Z
84,120,D,2000-12-24,180,0.1,2000-12-24T23:00:00Z
84,120,D,2000-12-24,360,0.05,2000-12-24T20:00:00Z
84,120,D,2000-12-24,720,0.025,2000-12-24T14:00:00Z
84,120,D,2000-12-24,1440,0.013,2000-12-24T06:00:00Z
84,120,D,2000-12-31,720,0.15,2001-01-01T15:00:00Z
84,120,D,2000-12-31,1440,0.075,2001-01-01T03:00:00Z
84,120,D,2001-01-01,5,3.6,2001-01-01T22:00:00Z
84,120,D,2001-01-01,10,1.8,2001-01-01T22:00:00Z
84,120,D,2001-01-01,15,2.4,2001-01-01T22:00:00Z
84,120,D,2001-01-01,30,1.8,2001-01-01T22:00:00Z
84,120,D,2001-01-01,60,1.2,2001-01-01T22:00:00Z
84,120,D,2001-01-01,120,0.75,2001-01-01T22:00:00Z
84,120,D,2001-01-01,180,0.5,2001-01-01T21:00:00Z
84,120,D,2001-01-01,360,0.467,2001-01-02T11:00:00Z
84,120,D,2001-01-01,720,0.65,2001-01-02T11:00:00Z
84,120,D,2001-01-01,1440,0.388,2001-01-01T22:00:00Z
84,120,D,2001-01-02,5,9.6,2001-01-02T16:55:00Z
84,120,D,2001-01-02,10,7.8,2001-01-02T16:50:00Z
84,120,D,2001-01-02,15,7.2,2001-01-02T16:50:00Z
84,120,D,2001-01-02,30,7.2,2001-01-02T16:50:00Z
84,120,D,2001-01-02,60,4.8,2001-01-02T16:30:00Z
84,120,D,2001-01-02,120,3.15,2001-01-02T16:30:00Z
84,120,D,2001-01-02,180,2.4,2001-01-02T15:30:00Z
84,120,D,2001-01-02,360,1.2,2001-01-02T13:00:00Z
84,120,D,2001-01-02,720,0.65,2001-01-02T11:00:00Z
84,120,D,2001-01-02,1440,0.35,2001-01-02T13:00:00Z
84,120,D,2001-01-03,5,3.6,2001-01-03T11:35:00Z
84,120,D,2001-01-03,30,0.6,2001-01-03T11:35:00Z
84,120,D,2001-01-03,60,0.6,2001-01-03T11:35:00Z
84,120,D,2001-01-03,120,0.3,2001-01-03T11:00:00Z
84,120,D,2001-01-03,180,0.2,2001-01-03T10:00:00Z
84,120,D,2001-01-03,360,0.1,2001-01-03T07:00:00Z
84,120,D,2001-01-03,720,0.05,2001-01-03T06:00:00Z
84,120,D,2001-01-03,1440,0.025,2001-01-03T06:00:00Z
84,120,D,2001-01-08,720,0.025,2001-01-09T07:00:00Z
84,120,D,2001-01-08,1440,0.013,2001-01-08T19:00:00Z
84,120,D,2001-01-09,5,3.6,2001-01-09T18:50:00Z
84,120,D,2001-01-09,10,1.8,2001-01-09T18:50:00Z
84,120,D,2001-01-09,15,1.2,2001-01-09T18:50:00Z
84,120,D,2001-01-09,60,0.3,2001-01-09T18:00:00Z
84,120,D,2001-01-09,120,0.15,2001-01-09T17:00:00Z
84,120,D,2001-01-09,180,0.1,2001-01-09T16:00:00Z
84,120,D,2001-01-09,360,0.05,2001-01-09T13:00:00Z
84,120,D,2001-01-09,720,0.025,2001-01-09T07:00:00Z
84,120,D,2001-01-09,1440,0.013,2001-01-09T06:00:00Z
84,120,D,2001-01-18,720,0.233,2001-01-19T11:00:00Z
84,120,D,2001-01-18,1440,0.117,2001-01-18T23:00:00Z
84,120,D,2001-01-19,5,6,2001-01-19T21:50:00Z
84,120,D,2001-01-19,10,6,2001-01-19T21:50:00Z
84,120,D,2001-01-19,15,5.2,2001-01-19T21:45:00Z
84,120,D,2001-01-19,30,3.2,2001-01-19T21:30:00Z
84,120,D,2001-01-19,60,2.5,2001-01-19T21:25:00Z
84,120,D,2001-01-19,120,1.4,2001-01-19T21:00:00Z
84,120,D,2001-01-19,180,0.933,2001-01-19T20:00:00Z
