basin,station,source,date,dur,int,date_time
84,126,TRUE,1991-08-01,10,2.4,1991-08-01T22:23:00Z
84,126,TRUE,1991-08-01,15,4.8,1991-08-01T21:52:00Z
84,126,TRUE,1991-08-01,30,4,1991-08-01T22:03:00Z
84,126,TRUE,1991-08-01,60,2.4,1991-08-01T22:03:00Z
84,126,TRUE,1991-08-01,120,2.15,1991-08-01T21:09:00Z
84,126,TRUE,1991-08-01,180,1.5,1991-08-01T20:09:00Z
84,126,TRUE,1991-08-01,360,0.783,1991-08-01T19:13:00Z
84,126,TRUE,1991-08-01,720,0.525,1991-08-01T13:00:00Z
84,126,TRUE,1991-08-01,1440,0.325,1991-08-01T10:00:00Z
84,126,TRUE,1991-08-02,10,0.6,1991-08-02T05:41:00Z
84,126,TRUE,1991-08-02,15,0.4,1991-08-02T09:28:00Z
84,126,TRUE,1991-08-02,60,0.4,1991-08-02T05:41:00Z
84,126,TRUE,1991-08-02,120,0.3,1991-08-02T05:41:00Z
84,126,TRUE,1991-08-02,180,0.233,1991-08-02T05:41:00Z
84,126,TRUE,1991-08-02,720,0.283,1991-08-03T10:00:00Z
84,126,TRUE,1991-08-02,1440,0.142,1991-08-02T22:00:00Z
84,126,TRUE,1991-08-03,15,4.4,1991-08-03T21:09:00Z
84,126,TRUE,1991-08-03,30,2.4,1991-08-03T21:09:00Z
84,126,TRUE,1991-08-03,60,1.6,1991-08-03T20:38:00Z
84,126,TRUE,1991-08-03,120,0.9,1991-08-03T17:47:00Z
84,126,TRUE,1991-08-03,180,0.733,1991-08-03T18:32:00Z
84,126,TRUE,1991-08-03,360,0.567,1991-08-03T16:00:00Z
84,126,TRUE,1991-08-03,720,0.925,1991-08-04T11:00:00Z
84,126,TRUE,1991-08-03,1440,0.462,1991-08-03T23:00:00Z
84,126,TRUE,1991-08-04,10,28.8,1991-08-04T21:27:00Z
84,126,TRUE,1991-08-04,15,4,1991-08-04T21:36:00Z
84,126,TRUE,1991-08-04,30,16.6,1991-08-04T21:18:00Z
84,126,TRUE,1991-08-04,60,8.5,1991-08-04T21:18:00Z
84,126,TRUE,1991-08-04,120,5.55,1991-08-04T20:26:00Z
84,126,TRUE,1991-08-04,180,3.7,1991-08-04T20:00:00Z
84,126,TRUE,1991-08-04,360,1.85,1991-08-04T17:00:00Z
84,126,TRUE,1991-08-04,720,1.567,1991-08-05T14:00:00Z
84,126,TRUE,1991-08-04,1440,0.846,1991-08-04T21:18:00Z
84,126,TRUE,1991-08-05,10,15,1991-08-05T20:03:00Z
84,126,TRUE,1991-08-05,15,6.8,1991-08-05T21:24:00Z
84,126,TRUE,1991-08-05,30,7.2,1991-08-05T21:07:00Z
84,126,TRUE,1991-08-05,60,7.3,1991-08-05T20:34:00Z
84,126,TRUE,1991-08-05,120,6.1,1991-08-05T20:03:00Z
84,126,TRUE,1991-08-05,180,4.867,1991-08-05T19:12:00Z
84,126,TRUE,1991-08-05,360,3.083,1991-08-05T19:00:00Z
84,126,TRUE,1991-08-05,720,1.567,1991-08-05T14:00:00Z
84,126,TRUE,1991-08-05,1440,0.783,1991-08-05T05:00:00Z
84,126,TRUE,1991-08-06,360,0.183,1991-08-07T10:00:00Z
84,126,TRUE,1991-08-06,720,0.408,1991-08-07T06:00:00Z
84,126,TRUE,1991-08-06,1440,0.204,1991-08-06T18:00:00Z
84,126,TRUE,1991-08-07,5,3.6,1991-08-07T15:48:00Z
84,126,TRUE,1991-08-07,15,3.6,1991-08-07T16:09:00Z
84,126,TRUE,1991-08-07,30,3.6,1991-08-07T15:52:00Z
84,126,TRUE,1991-08-07,60,3.2,1991-08-07T15:52:00Z
84,126,TRUE,1991-08-07,120,2.15,1991-08-07T14:55:00Z
84,126,TRUE,1991-08-07,180,1.633,1991-08-07T14:55:00Z
84,126,TRUE,1991-08-07,360,5.117,1991-08-08T08:56:00Z
84,126,TRUE,1991-08-07,720,3.983,1991-08-08T03:12:00Z
84,126,TRUE,1991-08-07,1440,2.221,1991-08-07T15:48:00Z
84,126,TRUE,1991-08-08,5,49.2,1991-08-08T14:39:00Z
84,126,TRUE,1991-08-08,10,74.4,1991-08-08T14:43:00Z
84,126,TRUE,1991-08-08,15,66,1991-08-08T14:39:00Z
84,126,TRUE,1991-08-08,30,71,1991-08-08T14:33:00Z
84,126,TRUE,1991-08-08,60,38.8,1991-08-08T14:33:00Z
84,126,TRUE,1991-08-08,120,21.5,1991-08-08T13:44:00Z
84,126,TRUE,1991-08-08,180,14.833,1991-08-08T12:46:00Z
84,126,TRUE,1991-08-08,360,9.917,1991-08-09T10:00:00Z
84,126,TRUE,1991-08-08,720,4.967,1991-08-09T04:00:00Z
84,126,TRUE,1991-08-08,1440,2.487,1991-08-08T15:12:00Z
84,126,TRUE,1991-08-09,10,72.6,1991-08-09T14:39:00Z
84,126,TRUE,1991-08-09,15,60.8,1991-08-09T14:26:00Z
84,126,TRUE,1991-08-09,30,64.2,1991-08-09T14:39:00Z
84,126,TRUE,1991-08-09,60,57.4,1991-08-09T14:17:00Z
84,126,TRUE,1991-08-09,120,25.3,1991-08-09T13:00:00Z
84,126,TRUE,1991-08-09,180,19.833,1991-08-09T13:00:00Z
84,126,TRUE,1991-08-09,360,9.917,1991-08-09T10:00:00Z
84,126,TRUE,1991-08-09,720,4.967,1991-08-09T05:00:00Z
84,126,TRUE,1991-08-09,1440,2.483,1991-08-09T05:00:00Z
84,126,TRUE,1991-08-10,720,0.625,1991-08-11T16:00:00Z
84,126,TRUE,1991-08-10,1440,0.312,1991-08-11T04:00:00Z
84,126,TRUE,1991-08-11,5,1.2,1991-08-12T03:08:00Z
84,126,TRUE,1991-08-11,15,1.6,1991-08-12T05:00:00Z
84,126,TRUE,1991-08-11,30,3,1991-08-11T18:38:00Z
84,126,TRUE,1991-08-11,60,2.6,1991-08-12T03:08:00Z
84,126,TRUE,1991-08-11,120,2.05,1991-08-12T05:03:00Z
84,126,TRUE,1991-08-11,180,1.367,1991-08-12T03:08:00Z
84,126,TRUE,1991-08-11,360,1.2,1991-08-12T02:10:00Z
84,126,TRUE,1991-08-11,720,0.933,1991-08-11T18:38:00Z
84,126,TRUE,1991-08-11,1440,0.483,1991-08-11T08:00:00Z
84,126,TRUE,1991-08-12,15,1.6,1991-08-12T05:00:00Z
84,126,TRUE,1991-08-12,30,4.4,1991-08-12T06:01:00Z
84,126,TRUE,1991-08-12,60,2.6,1991-08-12T06:01:00Z
84,126,TRUE,1991-08-12,120,2.05,1991-08-12T05:03:00Z
84,126,TRUE,1991-08-12,180,1.367,1991-08-12T05:00:00Z
84,126,TRUE,1991-08-12,360,0.683,1991-08-12T05:00:00Z
84,126,TRUE,1991-08-12,720,0.867,1991-08-13T07:00:00Z
84,126,TRUE,1991-08-12,1440,0.433,1991-08-12T19:00:00Z
84,126,TRUE,1991-08-13,5,1.2,1991-08-13T18:11:00Z
84,126,TRUE,1991-08-13,10,5.4,1991-08-13T13:04:00Z
84,126,TRUE,1991-08-13,15,4,1991-08-13T13:23:00Z
84,126,TRUE,1991-08-13,30,4.2,1991-08-13T12:45:00Z
84,126,TRUE,1991-08-13,60,4.1,1991-08-13T12:25:00Z
84,126,TRUE,1991-08-13,120,3.45,1991-08-13T11:35:00Z
84,126,TRUE,1991-08-13,180,2.9,1991-08-13T11:27:00Z
84,126,TRUE,1991-08-13,360,1.45,1991-08-13T12:05:00Z
84,126,TRUE,1991-08-13,720,0.867,1991-08-13T07:00:00Z
84,126,TRUE,1991-08-13,1440,0.433,1991-08-13T05:00:00Z
84,126,TRUE,1991-08-15,720,0.05,1991-08-16T05:00:00Z
84,126,TRUE,1991-08-15,1440,0.025,1991-08-15T17:00:00Z
84,126,TRUE,1991-08-16,60,0.6,1991-08-16T15:28:00Z
84,126,TRUE,1991-08-16,120,0.3,1991-08-16T15:00:00Z
84,126,TRUE,1991-08-16,180,0.2,1991-08-16T14:00:00Z
84,126,TRUE,1991-08-16,360,0.1,1991-08-16T11:00:00Z
84,126,TRUE,1991-08-16,720,1.208,1991-08-17T12:00:00Z
84,126,TRUE,1991-08-16,1440,0.604,1991-08-17T00:00:00Z
84,126,TRUE,1991-08-17,10,19.8,1991-08-17T18:22:00Z
84,126,TRUE,1991-08-17,15,13.2,1991-08-17T18:22:00Z
84,126,TRUE,1991-08-17,30,10.6,1991-08-17T18:22:00Z
84,126,TRUE,1991-08-17,60,11,1991-08-17T18:22:00Z
84,126,TRUE,1991-08-17,120,6.55,1991-08-17T18:00:00Z
84,126,TRUE,1991-08-17,180,4.733,1991-08-17T18:00:00Z
84,126,TRUE,1991-08-17,360,2.4,1991-08-17T15:00:00Z
84,126,TRUE,1991-08-17,720,1.208,1991-08-17T12:00:00Z
84,126,TRUE,1991-08-17,1440,0.604,1991-08-17T05:00:00Z
84,126,TRUE,1991-08-19,720,3.283,1991-08-20T10:00:00Z
84,126,TRUE,1991-08-19,1440,1.642,1991-08-19T22:00:00Z
84,126,TRUE,1991-08-20,10,76.8,1991-08-20T20:28:00Z
84,126,TRUE,1991-08-20,15,51.2,1991-08-20T20:28:00Z
84,126,TRUE,1991-08-20,30,51.2,1991-08-20T20:28:00Z
84,126,TRUE,1991-08-20,60,39.4,1991-08-20T20:14:00Z
84,126,TRUE,1991-08-20,120,19.7,1991-08-20T20:00:00Z
84,126,TRUE,1991-08-20,180,13.133,1991-08-20T19:00:00Z
84,126,TRUE,1991-08-20,360,6.567,1991-08-20T16:00:00Z
84,126,TRUE,1991-08-20,720,3.283,1991-08-20T10:00:00Z
84,126,TRUE,1991-08-20,1440,1.642,1991-08-20T05:00:00Z
84,126,TRUE,1991-08-21,120,0.3,1991-08-21T22:00:00Z
84,126,TRUE,1991-08-21,180,0.4,1991-08-21T22:00:00Z
84,126,TRUE,1991-08-21,360,0.25,1991-08-21T21:00:00Z
84,126,TRUE,1991-08-21,720,0.125,1991-08-21T15:00:00Z
84,126,TRUE,1991-08-21,1440,0.062,1991-08-21T05:00:00Z
84,126,TRUE,1991-08-22,10,1.8,1991-08-22T17:50:00Z
84,126,TRUE,1991-08-22,15,1.2,1991-08-22T17:50:00Z
84,126,TRUE,1991-08-22,60,0.7,1991-08-22T14:42:00Z
84,126,TRUE,1991-08-22,120,0.6,1991-08-22T14:00:00Z
84,126,TRUE,1991-08-22,180,0.4,1991-08-22T14:00:00Z
84,126,TRUE,1991-08-22,360,0.25,1991-08-22T14:00:00Z
84,126,TRUE,1991-08-22,720,1.808,1991-08-23T16:00:00Z
84,126,TRUE,1991-08-22,1440,0.904,1991-08-23T04:00:00Z
84,126,TRUE,1991-08-23,5,31.2,1991-08-23T22:10:00Z
84,126,TRUE,1991-08-23,10,36.6,1991-08-23T22:00:00Z
84,126,TRUE,1991-08-23,15,34.8,1991-08-23T22:00:00Z
84,126,TRUE,1991-08-23,30,31.6,1991-08-23T22:01:00Z
84,126,TRUE,1991-08-23,60,17.4,1991-08-23T22:00:00Z
84,126,TRUE,1991-08-23,120,9,1991-08-23T22:00:00Z
84,126,TRUE,1991-08-23,180,6,1991-08-23T21:00:00Z
84,126,TRUE,1991-08-23,360,3.6,1991-08-23T18:00:00Z
84,126,TRUE,1991-08-23,720,1.808,1991-08-23T16:00:00Z
84,126,TRUE,1991-08-23,1440,0.904,1991-08-23T05:00:00Z
84,126,TRUE,1991-08-24,60,0.5,1991-08-24T19:10:00Z
84,126,TRUE,1991-08-24,120,0.25,1991-08-24T19:00:00Z
84,126,TRUE,1991-08-24,180,0.167,1991-08-24T18:00:00Z
84,126,TRUE,1991-08-24,360,0.083,1991-08-24T15:00:00Z
84,126,TRUE,1991-08-24,720,0.042,1991-08-24T09:00:00Z
84,126,TRUE,1991-08-24,1440,0.021,1991-08-24T05:00:00Z
84,126,TRUE,1991-08-27,720,0.283,1991-08-28T16:00:00Z
84,126,TRUE,1991-08-27,1440,0.142,1991-08-28T04:00:00Z
84,126,TRUE,1991-08-28,10,0.6,1991-08-28T20:35:00Z
84,126,TRUE,1991-08-28,15,0.4,1991-08-28T20:35:00Z
84,126,TRUE,1991-08-28,30,3.2,1991-08-28T20:35:00Z
84,126,TRUE,1991-08-28,60,3,1991-08-28T20:05:00Z
84,126,TRUE,1991-08-28,120,1.65,1991-08-28T20:00:00Z
84,126,TRUE,1991-08-28,180,1.1,1991-08-28T19:00:00Z
84,126,TRUE,1991-08-28,360,0.55,1991-08-28T16:00:00Z
84,126,TRUE,1991-08-28,720,0.717,1991-08-29T11:00:00Z
84,126,TRUE,1991-08-28,1440,0.362,1991-08-28T23:00:00Z
84,126,TRUE,1991-08-29,10,6,1991-08-29T22:01:00Z
84,126,TRUE,1991-08-29,15,3.2,1991-08-29T21:50:00Z
84,126,TRUE,1991-08-29,30,5.2,1991-08-29T21:42:00Z
84,126,TRUE,1991-08-29,60,4,1991-08-29T21:21:00Z
84,126,TRUE,1991-08-29,120,3.2,1991-08-29T20:48:00Z
84,126,TRUE,1991-08-29,180,2.167,1991-08-29T19:50:00Z
84,126,TRUE,1991-08-29,360,1.433,1991-08-29T17:00:00Z
84,126,TRUE,1991-08-29,720,2.075,1991-08-30T14:00:00Z
84,126,TRUE,1991-08-29,1440,1.129,1991-08-30T05:00:00Z
84,126,TRUE,1991-08-30,10,22.8,1991-08-30T20:24:00Z
84,126,TRUE,1991-08-30,15,15.2,1991-08-30T20:24:00Z
84,126,TRUE,1991-08-30,30,11,1991-08-31T00:34:00Z
84,126,TRUE,1991-08-30,60,8,1991-08-31T00:22:00Z
84,126,TRUE,1991-08-30,120,6.25,1991-08-30T23:04:00Z
84,126,TRUE,1991-08-30,180,5.4,1991-08-30T22:54:00Z
84,126,TRUE,1991-08-30,360,3.967,1991-08-30T20:00:00Z
84,126,TRUE,1991-08-30,720,2.258,1991-08-30T17:00:00Z
84,126,TRUE,1991-08-30,1440,1.133,1991-08-30T07:00:00Z
84,126,TRUE,1991-08-31,10,7.8,1991-08-31T21:15:00Z
84,126,TRUE,1991-08-31,15,6.8,1991-08-31T21:43:00Z
84,126,TRUE,1991-08-31,30,7,1991-08-31T21:24:00Z
84,126,TRUE,1991-08-31,60,6,1991-08-31T21:15:00Z
84,126,TRUE,1991-08-31,120,3.45,1991-08-31T21:15:00Z
84,126,TRUE,1991-08-31,180,2.433,1991-08-31T20:00:00Z
84,126,TRUE,1991-08-31,360,1.417,1991-08-31T20:00:00Z
84,126,TRUE,1991-08-31,720,0.708,1991-08-31T14:00:00Z
84,126,TRUE,1991-08-31,1440,0.358,1991-08-31T05:00:00Z
84,126,TRUE,1991-09-04,720,0.467,1991-09-05T14:00:00Z
84,126,TRUE,1991-09-04,1440,0.242,1991-09-05T05:00:00Z
84,126,TRUE,1991-09-05,10,6,1991-09-06T00:27:00Z
84,126,TRUE,1991-09-05,15,4,1991-09-06T00:27:00Z
84,126,TRUE,1991-09-05,30,4.8,1991-09-06T00:16:00Z
84,126,TRUE,1991-09-05,60,3.4,1991-09-05T23:49:00Z
84,126,TRUE,1991-09-05,120,2.4,1991-09-05T22:49:00Z
84,126,TRUE,1991-09-05,180,1.867,1991-09-05T22:49:00Z
84,126,TRUE,1991-09-05,360,0.933,1991-09-05T20:00:00Z
84,126,TRUE,1991-09-05,720,0.5,1991-09-05T19:00:00Z
84,126,TRUE,1991-09-05,1440,0.25,1991-09-05T07:00:00Z
84,126,TRUE,1991-09-06,30,0.2,1991-09-06T05:00:00Z
84,126,TRUE,1991-09-06,60,0.1,1991-09-06T05:27:00Z
84,126,TRUE,1991-09-06,120,0.1,1991-09-06T05:00:00Z
84,126,TRUE,1991-09-06,180,0.067,1991-09-06T05:00:00Z
84,126,TRUE,1991-09-06,360,0.033,1991-09-06T05:00:00Z
84,126,TRUE,1991-09-06,720,0.15,1991-09-07T11:00:00Z
84,126,TRUE,1991-09-06,1440,0.075,1991-09-06T22:00:00Z
84,126,TRUE,1991-09-07,30,1.8,1991-09-07T17:39:00Z
84,126,TRUE,1991-09-07,60,0.9,1991-09-07T17:00:00Z
84,126,TRUE,1991-09-07,120,0.45,1991-09-07T16:00:00Z
84,126,TRUE,1991-09-07,180,0.333,1991-09-07T17:00:00Z
84,126,TRUE,1991-09-07,360,0.3,1991-09-07T17:00:00Z
84,126,TRUE,1991-09-07,720,0.15,1991-09-07T11:00:00Z
84,126,TRUE,1991-09-07,1440,0.075,1991-09-07T06:00:00Z
84,126,TRUE,1991-09-10,720,2.592,1991-09-11T16:00:00Z
84,126,TRUE,1991-09-10,1440,1.296,1991-09-11T04:00:00Z
84,126,TRUE,1991-09-11,10,16.2,1991-09-11T20:03:00Z
84,126,TRUE,1991-09-11,15,10.8,1991-09-11T20:03:00Z
84,126,TRUE,1991-09-11,30,5.6,1991-09-11T20:03:00Z
84,126,TRUE,1991-09-11,60,17.9,1991-09-11T22:22:00Z
84,126,TRUE,1991-09-11,120,9.45,1991-09-11T21:21:00Z
84,126,TRUE,1991-09-11,180,6.833,1991-09-11T22:22:00Z
84,126,TRUE,1991-09-11,360,3.833,1991-09-11T20:13:00Z
84,126,TRUE,1991-09-11,720,2.592,1991-09-11T16:00:00Z
84,126,TRUE,1991-09-11,1440,34.554,1991-09-12T06:00:00Z
84,126,TRUE,1991-09-12,5,210,1991-09-13T05:56:00Z
84,126,TRUE,1991-09-12,10,37.2,1991-09-12T21:03:00Z
84,126,TRUE,1991-09-12,15,3177.2,1991-09-13T05:43:00Z
84,126,TRUE,1991-09-12,30,21.4,1991-09-12T21:03:00Z
84,126,TRUE,1991-09-12,60,811.8,1991-09-13T05:00:00Z
84,126,TRUE,1991-09-12,120,405.9,1991-09-13T04:00:00Z
84,126,TRUE,1991-09-12,180,270.6,1991-09-13T04:00:00Z
84,126,TRUE,1991-09-12,360,135.317,1991-09-13T00:00:00Z
84,126,TRUE,1991-09-12,720,69.108,1991-09-12T18:00:00Z
84,126,TRUE,1991-09-12,1440,34.554,1991-09-12T06:00:00Z
84,126,TRUE,1991-09-15,30,0.8,1991-09-16T05:52:00Z
84,126,TRUE,1991-09-15,60,2.3,1991-09-16T05:52:00Z
84,126,TRUE,1991-09-15,120,1.15,1991-09-16T05:00:00Z
84,126,TRUE,1991-09-15,180,1.067,1991-09-16T07:45:00Z
84,126,TRUE,1991-09-15,360,0.917,1991-09-16T05:00:00Z
84,126,TRUE,1991-09-15,720,0.775,1991-09-16T09:40:00Z
84,126,TRUE,1991-09-15,1440,0.579,1991-09-15T23:00:00Z
84,126,TRUE,1991-09-16,10,12,1991-09-16T20:50:00Z
84,126,TRUE,1991-09-16,15,8,1991-09-16T20:50:00Z
84,126,TRUE,1991-09-16,30,7.2,1991-09-16T21:00:00Z
84,126,TRUE,1991-09-16,60,6.7,1991-09-16T20:50:00Z
84,126,TRUE,1991-09-16,120,4.05,1991-09-16T20:08:00Z
84,126,TRUE,1991-09-16,180,2.8,1991-09-16T19:09:00Z
84,126,TRUE,1991-09-16,360,1.4,1991-09-16T17:00:00Z
84,126,TRUE,1991-09-16,720,0.775,1991-09-16T09:40:00Z
84,126,TRUE,1991-09-16,1440,0.562,1991-09-16T06:13:00Z
84,126,TRUE,1991-09-17,60,0.3,1991-09-17T07:33:00Z
84,126,TRUE,1991-09-17,120,0.15,1991-09-17T07:00:00Z
84,126,TRUE,1991-09-17,180,0.1,1991-09-17T06:00:00Z
84,126,TRUE,1991-09-17,360,0.05,1991-09-17T06:00:00Z
84,126,TRUE,1991-09-17,720,0.033,1991-09-17T06:00:00Z
84,126,TRUE,1991-09-17,1440,0.146,1991-09-17T08:32:00Z
84,126,TRUE,1991-09-18,60,1.3,1991-09-19T02:00:00Z
84,126,TRUE,1991-09-18,120,1.1,1991-09-19T01:00:00Z
84,126,TRUE,1991-09-18,180,0.933,1991-09-19T01:00:00Z
84,126,TRUE,1991-09-18,360,0.8,1991-09-19T01:00:00Z
84,126,TRUE,1991-09-18,720,0.492,1991-09-18T23:00:00Z
84,126,TRUE,1991-09-18,1440,0.246,1991-09-18T23:00:00Z
84,126,TRUE,1991-09-19,10,28.2,1991-09-20T06:04:00Z
84,126,TRUE,1991-09-19,15,18.8,1991-09-20T06:04:00Z
84,126,TRUE,1991-09-19,30,11.2,1991-09-20T05:50:00Z
84,126,TRUE,1991-09-19,60,8.6,1991-09-20T05:50:00Z
84,126,TRUE,1991-09-19,120,5.1,1991-09-20T05:50:00Z
84,126,TRUE,1991-09-19,180,4.4,1991-09-20T05:50:00Z
84,126,TRUE,1991-09-19,360,2.35,1991-09-20T06:04:00Z
84,126,TRUE,1991-09-19,720,1.35,1991-09-19T23:00:00Z
84,126,TRUE,1991-09-19,1440,0.783,1991-09-20T02:04:00Z
84,126,TRUE,1991-09-20,10,28.2,1991-09-20T06:04:00Z
84,126,TRUE,1991-09-20,15,18.8,1991-09-20T06:04:00Z
84,126,TRUE,1991-09-20,30,11.2,1991-09-20T06:04:00Z
84,126,TRUE,1991-09-20,60,3.2,1991-09-20T06:14:00Z
84,126,TRUE,1991-09-20,120,5,1991-09-20T06:04:00Z
84,126,TRUE,1991-09-20,180,4.367,1991-09-20T06:04:00Z
84,126,TRUE,1991-09-20,360,2.35,1991-09-20T06:04:00Z
84,126,TRUE,1991-09-20,720,1.175,1991-09-20T06:04:00Z
84,126,TRUE,1991-09-20,1440,0.662,1991-09-21T00:41:00Z
84,126,TRUE,1991-09-21,10,16.2,1991-09-21T23:44:00Z
84,126,TRUE,1991-09-21,15,14.8,1991-09-21T23:38:00Z
84,126,TRUE,1991-09-21,30,11.2,1991-09-21T23:37:00Z
84,126,TRUE,1991-09-21,60,5.7,1991-09-21T23:37:00Z
84,126,TRUE,1991-09-21,120,5,1991-09-21T22:42:00Z
84,126,TRUE,1991-09-21,180,3.8,1991-09-21T21:44:00Z
84,126,TRUE,1991-09-21,360,2.033,1991-09-21T19:00:00Z
84,126,TRUE,1991-09-21,720,1.85,1991-09-22T16:00:00Z
84,126,TRUE,1991-09-21,1440,0.967,1991-09-21T22:04:00Z
84,126,TRUE,1991-09-22,10,54.6,1991-09-22T20:49:00Z
84,126,TRUE,1991-09-22,15,36.4,1991-09-22T20:49:00Z
84,126,TRUE,1991-09-22,30,22.4,1991-09-22T20:49:00Z
84,126,TRUE,1991-09-22,60,11.1,1991-09-22T20:00:00Z
84,126,TRUE,1991-09-22,120,6.6,1991-09-22T20:00:00Z
84,126,TRUE,1991-09-22,180,4.4,1991-09-22T19:00:00Z
84,126,TRUE,1991-09-22,360,2.667,1991-09-22T20:49:00Z
84,126,TRUE,1991-09-22,720,1.875,1991-09-22T20:00:00Z
84,126,TRUE,1991-09-22,1440,0.95,1991-09-22T19:00:00Z
84,126,TRUE,1991-09-23,30,0.8,1991-09-23T22:49:00Z
84,126,TRUE,1991-09-23,60,1.6,1991-09-23T22:14:00Z
84,126,TRUE,1991-09-23,120,1.3,1991-09-23T22:14:00Z
84,126,TRUE,1991-09-23,180,0.9,1991-09-23T21:12:00Z
84,126,TRUE,1991-09-23,360,0.467,1991-09-23T20:00:00Z
84,126,TRUE,1991-09-23,720,0.242,1991-09-23T14:00:00Z
84,126,TRUE,1991-09-23,1440,0.142,1991-09-23T06:00:00Z
84,126,TRUE,1991-09-24,5,2.4,1991-09-24T23:48:00Z
84,126,TRUE,1991-09-24,60,0.3,1991-09-25T02:00:00Z
84,126,TRUE,1991-09-24,120,0.25,1991-09-24T23:48:00Z
84,126,TRUE,1991-09-24,180,0.167,1991-09-24T23:00:00Z
84,126,TRUE,1991-09-24,360,0.133,1991-09-24T21:00:00Z
84,126,TRUE,1991-09-24,720,0.683,1991-09-25T13:00:00Z
84,126,TRUE,1991-09-24,1440,0.354,1991-09-24T23:48:00Z
84,126,TRUE,1991-09-25,10,8.4,1991-09-25T20:05:00Z
84,126,TRUE,1991-09-25,30,10.2,1991-09-25T19:45:00Z
84,126,TRUE,1991-09-25,60,5.5,1991-09-25T19:48:00Z
84,126,TRUE,1991-09-25,120,3.55,1991-09-25T18:51:00Z
84,126,TRUE,1991-09-25,180,2.433,1991-09-25T18:51:00Z
84,126,TRUE,1991-09-25,360,1.183,1991-09-25T15:00:00Z
