basin,station,source,date,dur,int,date_time
74,52,TRUE,2017-06-06,180,0.833,2017-06-07T08:00:00Z
74,52,TRUE,2017-06-06,360,0.633,2017-06-07T06:00:00Z
74,52,TRUE,2017-06-06,720,0.317,2017-06-07T00:00:00Z
74,52,TRUE,2017-06-06,1440,0.158,2017-06-06T23:00:00Z
74,52,TRUE,2017-06-07,5,15.6,2017-06-07T10:35:00Z
74,52,TRUE,2017-06-07,10,10.8,2017-06-07T10:35:00Z
74,52,TRUE,2017-06-07,15,8,2017-06-07T10:30:00Z
74,52,TRUE,2017-06-07,30,4.6,2017-06-07T10:25:00Z
74,52,TRUE,2017-06-07,60,3,2017-06-07T10:30:00Z
74,52,TRUE,2017-06-07,120,1.9,2017-06-07T10:00:00Z
74,52,TRUE,2017-06-07,180,1.267,2017-06-07T09:00:00Z
74,52,TRUE,2017-06-07,360,0.633,2017-06-07T06:00:00Z
74,52,TRUE,2017-06-07,720,1.992,2017-06-08T09:00:00Z
74,52,TRUE,2017-06-07,1440,1.004,2017-06-07T22:00:00Z
74,52,TRUE,2017-06-08,5,51.6,2017-06-08T19:10:00Z
74,52,TRUE,2017-06-08,10,38.4,2017-06-08T19:10:00Z
74,52,TRUE,2017-06-08,15,34.4,2017-06-08T19:10:00Z
74,52,TRUE,2017-06-08,30,29.4,2017-06-08T19:10:00Z
74,52,TRUE,2017-06-08,60,21.3,2017-06-08T19:00:00Z
74,52,TRUE,2017-06-08,120,11.55,2017-06-08T19:00:00Z
74,52,TRUE,2017-06-08,180,7.8,2017-06-08T19:00:00Z
74,52,TRUE,2017-06-08,360,3.9,2017-06-08T16:00:00Z
74,52,TRUE,2017-06-08,720,1.992,2017-06-08T09:00:00Z
74,52,TRUE,2017-06-08,1440,1.004,2017-06-08T06:00:00Z
74,52,TRUE,2017-06-09,5,18,2017-06-09T21:45:00Z
74,52,TRUE,2017-06-09,10,13.8,2017-06-09T21:40:00Z
74,52,TRUE,2017-06-09,15,12,2017-06-09T21:40:00Z
74,52,TRUE,2017-06-09,30,7.6,2017-06-09T21:40:00Z
74,52,TRUE,2017-06-09,60,3.6,2017-06-09T21:00:00Z
74,52,TRUE,2017-06-09,120,2.15,2017-06-09T20:00:00Z
74,52,TRUE,2017-06-09,180,1.533,2017-06-09T20:00:00Z
74,52,TRUE,2017-06-09,360,0.767,2017-06-09T17:00:00Z
74,52,TRUE,2017-06-09,720,2.225,2017-06-10T17:10:00Z
74,52,TRUE,2017-06-09,1440,1.121,2017-06-10T04:10:00Z
74,52,TRUE,2017-06-10,5,76.8,2017-06-10T18:00:00Z
74,52,TRUE,2017-06-10,10,62.4,2017-06-10T18:00:00Z
74,52,TRUE,2017-06-10,15,52,2017-06-10T18:00:00Z
74,52,TRUE,2017-06-10,30,29,2017-06-10T17:55:00Z
74,52,TRUE,2017-06-10,60,15.2,2017-06-10T17:50:00Z
74,52,TRUE,2017-06-10,120,7.75,2017-06-10T17:00:00Z
74,52,TRUE,2017-06-10,180,5.233,2017-06-10T16:00:00Z
74,52,TRUE,2017-06-10,360,3.733,2017-06-10T17:55:00Z
74,52,TRUE,2017-06-10,720,2.225,2017-06-10T17:10:00Z
74,52,TRUE,2017-06-10,1440,1.133,2017-06-10T07:00:00Z
74,52,TRUE,2017-06-11,5,3.6,2017-06-11T06:45:00Z
74,52,TRUE,2017-06-11,15,1.2,2017-06-11T06:45:00Z
74,52,TRUE,2017-06-11,60,0.3,2017-06-11T06:00:00Z
