basin,station,source,date,dur,int,date_time
73,28,D,2006-02-19,5,9.6,2006-02-20T16:50:00Z
73,28,D,2006-02-19,10,4.8,2006-02-20T16:50:00Z
73,28,D,2006-02-19,15,3.2,2006-02-20T16:50:00Z
73,28,D,2006-02-20,5,9.6,2006-02-20T16:50:00Z
73,28,D,2006-02-20,10,4.8,2006-02-20T16:50:00Z
73,28,D,2006-02-20,15,3.2,2006-02-20T16:50:00Z
73,28,D,2006-02-22,720,0.808,2006-02-23T14:00:00Z
73,28,D,2006-02-22,1440,0.404,2006-02-23T02:00:00Z
73,28,D,2006-02-23,5,27.6,2006-02-23T20:50:00Z
73,28,D,2006-02-23,10,16.8,2006-02-23T20:45:00Z
73,28,D,2006-02-23,15,14.4,2006-02-23T20:50:00Z
73,28,D,2006-02-23,30,11.2,2006-02-23T20:45:00Z
73,28,D,2006-02-23,60,7.1,2006-02-23T20:25:00Z
73,28,D,2006-02-23,120,3.7,2006-02-23T20:00:00Z
73,28,D,2006-02-23,180,2.633,2006-02-23T18:20:00Z
73,28,D,2006-02-23,360,2.033,2006-02-24T11:10:00Z
73,28,D,2006-02-23,720,1.633,2006-02-24T10:00:00Z
73,28,D,2006-02-23,1440,1.1,2006-02-23T20:25:00Z
73,28,D,2006-02-24,5,15.6,2006-02-24T15:55:00Z
73,28,D,2006-02-24,10,15,2006-02-24T16:20:00Z
73,28,D,2006-02-24,15,15.2,2006-02-24T16:20:00Z
73,28,D,2006-02-24,30,12.2,2006-02-24T16:10:00Z
73,28,D,2006-02-24,60,9.1,2006-02-24T15:40:00Z
73,28,D,2006-02-24,120,4.95,2006-02-24T15:40:00Z
73,28,D,2006-02-24,180,3.567,2006-02-24T15:00:00Z
73,28,D,2006-02-24,360,2.833,2006-02-24T15:40:00Z
73,28,D,2006-02-24,720,1.633,2006-02-24T10:00:00Z
73,28,D,2006-02-24,1440,0.825,2006-02-24T06:00:00Z
73,28,D,2006-02-25,5,3.6,2006-02-25T06:10:00Z
73,28,D,2006-02-25,15,1.2,2006-02-25T06:00:00Z
73,28,D,2006-02-25,60,0.3,2006-02-25T06:00:00Z
73,28,D,2006-02-25,120,0.15,2006-02-25T06:00:00Z
73,28,D,2006-02-25,180,0.1,2006-02-25T06:00:00Z
73,28,D,2006-02-25,360,0.05,2006-02-25T06:00:00Z
73,28,D,2006-02-25,720,0.358,2006-02-26T17:00:00Z
73,28,D,2006-02-25,1440,0.192,2006-02-26T06:00:00Z
73,28,D,2006-02-26,5,6,2006-02-27T01:05:00Z
73,28,D,2006-02-26,10,4.8,2006-02-27T01:20:00Z
73,28,D,2006-02-26,15,4,2006-02-27T01:20:00Z
73,28,D,2006-02-26,30,3.6,2006-02-27T03:40:00Z
73,28,D,2006-02-26,60,1.8,2006-02-27T03:45:00Z
73,28,D,2006-02-26,120,1.4,2006-02-27T03:40:00Z
73,28,D,2006-02-26,180,1.2,2006-02-27T03:40:00Z
73,28,D,2006-02-26,360,0.933,2006-02-27T01:05:00Z
73,28,D,2006-02-26,720,0.533,2006-02-26T22:00:00Z
73,28,D,2006-02-26,1440,0.275,2006-02-26T13:00:00Z
73,28,D,2006-02-27,5,3.6,2006-02-27T06:15:00Z
73,28,D,2006-02-27,10,3,2006-02-27T06:30:00Z
73,28,D,2006-02-27,15,2,2006-02-27T06:30:00Z
73,28,D,2006-02-27,30,1.6,2006-02-27T06:15:00Z
73,28,D,2006-02-27,60,1.3,2006-02-27T06:15:00Z
73,28,D,2006-02-27,120,0.75,2006-02-27T06:00:00Z
73,28,D,2006-02-27,180,0.6,2006-02-27T06:15:00Z
73,28,D,2006-02-27,360,0.3,2006-02-27T06:00:00Z
73,28,D,2006-02-27,720,0.167,2006-02-27T06:00:00Z
73,28,D,2006-02-27,1440,0.083,2006-02-27T06:00:00Z
73,28,D,2006-02-28,5,3.6,2006-02-28T16:45:00Z
73,28,D,2006-02-28,15,1.2,2006-02-28T16:45:00Z
73,28,D,2006-02-28,30,0.6,2006-03-01T02:00:00Z
73,28,D,2006-02-28,60,0.3,2006-02-28T16:00:00Z
73,28,D,2006-02-28,120,0.25,2006-03-01T01:00:00Z
73,28,D,2006-02-28,180,0.167,2006-03-01T00:00:00Z
73,28,D,2006-02-28,360,0.083,2006-02-28T21:00:00Z
73,28,D,2006-02-28,720,0.067,2006-02-28T15:00:00Z
73,28,D,2006-02-28,1440,0.033,2006-02-28T06:00:00Z
73,28,D,2006-03-01,30,1,2006-03-02T06:25:00Z
73,28,D,2006-03-01,60,1,2006-03-02T06:25:00Z
73,28,D,2006-03-01,120,1,2006-03-02T06:00:00Z
73,28,D,2006-03-01,180,0.833,2006-03-02T06:25:00Z
73,28,D,2006-03-01,360,0.5,2006-03-02T06:00:00Z
73,28,D,2006-03-01,720,0.25,2006-03-02T00:00:00Z
73,28,D,2006-03-01,1440,0.138,2006-03-02T01:00:00Z
73,28,D,2006-03-02,5,9.6,2006-03-02T07:45:00Z
73,28,D,2006-03-02,10,6,2006-03-02T07:45:00Z
73,28,D,2006-03-02,15,4,2006-03-02T07:45:00Z
73,28,D,2006-03-02,30,2,2006-03-02T07:20:00Z
73,28,D,2006-03-02,60,1.5,2006-03-02T07:00:00Z
73,28,D,2006-03-02,120,1,2006-03-02T06:00:00Z
73,28,D,2006-03-02,180,0.833,2006-03-02T06:25:00Z
73,28,D,2006-03-02,360,0.5,2006-03-02T06:00:00Z
73,28,D,2006-03-02,720,0.25,2006-03-02T06:00:00Z
73,28,D,2006-03-02,1440,0.138,2006-03-02T06:00:00Z
73,28,D,2006-03-03,5,3.6,2006-03-03T21:25:00Z
73,28,D,2006-03-03,30,0.6,2006-03-03T21:00:00Z
73,28,D,2006-03-03,60,0.3,2006-03-03T21:00:00Z
73,28,D,2006-03-03,120,0.15,2006-03-03T20:00:00Z
73,28,D,2006-03-03,180,0.1,2006-03-03T19:00:00Z
73,28,D,2006-03-03,360,0.05,2006-03-03T16:00:00Z
73,28,D,2006-03-03,720,0.317,2006-03-04T16:00:00Z
73,28,D,2006-03-03,1440,0.192,2006-03-04T06:00:00Z
73,28,D,2006-03-04,5,6,2006-03-05T01:55:00Z
73,28,D,2006-03-04,10,4.8,2006-03-05T05:55:00Z
73,28,D,2006-03-04,15,4,2006-03-05T01:55:00Z
73,28,D,2006-03-04,30,3,2006-03-05T01:55:00Z
73,28,D,2006-03-04,60,2.3,2006-03-05T01:45:00Z
73,28,D,2006-03-04,120,1.8,2006-03-05T01:45:00Z
73,28,D,2006-03-04,180,3.967,2006-03-05T08:00:00Z
73,28,D,2006-03-04,360,2.25,2006-03-05T05:00:00Z
73,28,D,2006-03-04,720,1.442,2006-03-04T23:00:00Z
73,28,D,2006-03-04,1440,0.721,2006-03-04T11:00:00Z
73,28,D,2006-03-05,5,27.6,2006-03-05T10:10:00Z
73,28,D,2006-03-05,10,24.6,2006-03-05T09:40:00Z
73,28,D,2006-03-05,15,20.4,2006-03-05T10:05:00Z
73,28,D,2006-03-05,30,13.2,2006-03-05T10:00:00Z
73,28,D,2006-03-05,60,10.9,2006-03-05T09:40:00Z
73,28,D,2006-03-05,120,5.85,2006-03-05T08:40:00Z
73,28,D,2006-03-05,180,3.967,2006-03-05T08:00:00Z
73,28,D,2006-03-05,360,2.117,2006-03-05T06:00:00Z
73,28,D,2006-03-05,720,1.058,2006-03-05T06:00:00Z
73,28,D,2006-03-05,1440,0.529,2006-03-05T06:00:00Z
73,28,D,2006-03-06,5,3.6,2006-03-07T01:15:00Z
73,28,D,2006-03-06,30,1,2006-03-07T05:35:00Z
73,28,D,2006-03-06,60,0.3,2006-03-07T01:00:00Z
73,28,D,2006-03-06,120,0.25,2006-03-07T01:00:00Z
73,28,D,2006-03-06,180,0.167,2006-03-07T00:00:00Z
73,28,D,2006-03-06,360,0.167,2006-03-07T01:00:00Z
73,28,D,2006-03-06,720,0.083,2006-03-06T19:00:00Z
73,28,D,2006-03-06,1440,0.054,2006-03-06T15:00:00Z
73,28,D,2006-03-07,5,3.6,2006-03-07T06:00:00Z
73,28,D,2006-03-07,15,1.2,2006-03-07T14:00:00Z
73,28,D,2006-03-07,60,0.3,2006-03-07T06:00:00Z
73,28,D,2006-03-07,120,0.15,2006-03-07T06:00:00Z
73,28,D,2006-03-07,180,0.1,2006-03-07T06:00:00Z
73,28,D,2006-03-07,360,0.05,2006-03-07T06:00:00Z
73,28,D,2006-03-07,720,0.042,2006-03-07T06:00:00Z
73,28,D,2006-03-07,1440,0.021,2006-03-07T06:00:00Z
73,28,D,2006-03-09,720,0.025,2006-03-10T13:00:00Z
73,28,D,2006-03-09,1440,0.013,2006-03-10T01:00:00Z
73,28,D,2006-03-10,5,3.6,2006-03-11T00:25:00Z
73,28,D,2006-03-10,30,0.6,2006-03-11T00:00:00Z
73,28,D,2006-03-10,60,0.3,2006-03-11T00:00:00Z
73,28,D,2006-03-10,120,0.15,2006-03-10T23:00:00Z
73,28,D,2006-03-10,180,0.1,2006-03-10T22:00:00Z
73,28,D,2006-03-10,360,0.05,2006-03-10T19:00:00Z
73,28,D,2006-03-10,720,0.192,2006-03-11T17:00:00Z
73,28,D,2006-03-10,1440,0.104,2006-03-11T06:00:00Z
73,28,D,2006-03-11,5,3.6,2006-03-12T02:05:00Z
73,28,D,2006-03-11,10,1.8,2006-03-12T02:00:00Z
73,28,D,2006-03-11,15,2,2006-03-12T02:05:00Z
73,28,D,2006-03-11,30,1.6,2006-03-12T02:05:00Z
73,28,D,2006-03-11,60,1.3,2006-03-12T02:05:00Z
73,28,D,2006-03-11,120,0.9,2006-03-12T02:00:00Z
73,28,D,2006-03-11,180,0.767,2006-03-12T02:00:00Z
73,28,D,2006-03-11,360,0.6,2006-03-12T02:00:00Z
73,28,D,2006-03-11,720,0.342,2006-03-12T00:00:00Z
73,28,D,2006-03-11,1440,0.212,2006-03-11T22:00:00Z
73,28,D,2006-03-12,5,3.6,2006-03-12T06:45:00Z
73,28,D,2006-03-12,10,3,2006-03-12T20:40:00Z
73,28,D,2006-03-12,15,3.2,2006-03-12T20:40:00Z
73,28,D,2006-03-12,30,1.6,2006-03-12T20:40:00Z
73,28,D,2006-03-12,60,0.8,2006-03-12T06:45:00Z
73,28,D,2006-03-12,120,0.65,2006-03-12T06:45:00Z
73,28,D,2006-03-12,180,0.433,2006-03-12T06:00:00Z
73,28,D,2006-03-12,360,0.25,2006-03-12T06:00:00Z
73,28,D,2006-03-12,720,0.125,2006-03-12T06:00:00Z
73,28,D,2006-03-12,1440,0.104,2006-03-12T06:00:00Z
73,28,D,2006-03-13,180,0.333,2006-03-14T08:00:00Z
73,28,D,2006-03-13,360,0.167,2006-03-14T05:00:00Z
73,28,D,2006-03-13,720,0.108,2006-03-14T06:00:00Z
73,28,D,2006-03-13,1440,0.054,2006-03-13T18:00:00Z
73,28,D,2006-03-14,5,6,2006-03-14T10:05:00Z
73,28,D,2006-03-14,10,3,2006-03-14T10:00:00Z
73,28,D,2006-03-14,15,3.2,2006-03-14T09:55:00Z
73,28,D,2006-03-14,30,2,2006-03-14T09:55:00Z
73,28,D,2006-03-14,60,0.8,2006-03-14T10:00:00Z
73,28,D,2006-03-14,120,0.5,2006-03-14T09:00:00Z
73,28,D,2006-03-14,180,0.333,2006-03-14T08:00:00Z
73,28,D,2006-03-14,360,0.167,2006-03-14T06:00:00Z
73,28,D,2006-03-14,720,0.108,2006-03-14T06:00:00Z
73,28,D,2006-03-14,1440,0.054,2006-03-14T06:00:00Z
73,28,D,2006-03-15,120,0.4,2006-03-16T07:00:00Z
73,28,D,2006-03-15,180,0.433,2006-03-16T08:00:00Z
73,28,D,2006-03-15,360,0.217,2006-03-16T05:00:00Z
73,28,D,2006-03-15,720,0.208,2006-03-16T17:00:00Z
73,28,D,2006-03-15,1440,0.171,2006-03-16T06:00:00Z
73,28,D,2006-03-16,5,9.6,2006-03-17T04:30:00Z
73,28,D,2006-03-16,10,7.8,2006-03-17T04:30:00Z
73,28,D,2006-03-16,15,7.2,2006-03-17T04:30:00Z
73,28,D,2006-03-16,30,5,2006-03-17T04:25:00Z
73,28,D,2006-03-16,60,2.8,2006-03-17T04:25:00Z
73,28,D,2006-03-16,120,1.4,2006-03-17T04:00:00Z
73,28,D,2006-03-16,180,0.933,2006-03-17T03:00:00Z
73,28,D,2006-03-16,360,0.55,2006-03-17T04:25:00Z
73,28,D,2006-03-16,720,0.717,2006-03-17T17:00:00Z
73,28,D,2006-03-16,1440,0.488,2006-03-17T06:00:00Z
73,28,D,2006-03-17,5,15.6,2006-03-18T03:15:00Z
73,28,D,2006-03-17,10,12,2006-03-18T03:15:00Z
73,28,D,2006-03-17,15,11.2,2006-03-18T03:15:00Z
73,28,D,2006-03-17,30,8.6,2006-03-18T03:05:00Z
73,28,D,2006-03-17,60,5.6,2006-03-18T03:00:00Z
73,28,D,2006-03-17,120,4.2,2006-03-18T03:05:00Z
73,28,D,2006-03-17,180,3.8,2006-03-18T07:05:00Z
73,28,D,2006-03-17,360,2.917,2006-03-18T02:35:00Z
73,28,D,2006-03-17,720,2.033,2006-03-17T23:20:00Z
73,28,D,2006-03-17,1440,1.133,2006-03-17T19:00:00Z
73,28,D,2006-03-18,5,12,2006-03-18T07:10:00Z
73,28,D,2006-03-18,10,10.8,2006-03-18T07:10:00Z
73,28,D,2006-03-18,15,10,2006-03-18T07:10:00Z
73,28,D,2006-03-18,30,8.6,2006-03-18T07:05:00Z
73,28,D,2006-03-18,60,6.6,2006-03-18T07:00:00Z
73,28,D,2006-03-18,120,3.8,2006-03-18T06:30:00Z
73,28,D,2006-03-18,180,3.8,2006-03-18T07:05:00Z
73,28,D,2006-03-18,360,2.367,2006-03-18T06:00:00Z
73,28,D,2006-03-18,720,1.4,2006-03-18T06:30:00Z
73,28,D,2006-03-18,1440,0.721,2006-03-18T06:00:00Z
