basin,station,source,date,dur,int,date_time
76,46,D,2000-02-07,120,0.15,2000-02-08T07:00:00Z
76,46,D,2000-02-07,180,0.1,2000-02-08T06:00:00Z
76,46,D,2000-02-07,360,0.05,2000-02-08T03:00:00Z
76,46,D,2000-02-07,720,0.025,2000-02-07T21:00:00Z
76,46,D,2000-02-07,1440,0.025,2000-02-08T05:00:00Z
76,46,D,2000-02-08,5,3.6,2000-02-08T08:35:00Z
76,46,D,2000-02-08,15,1.2,2000-02-09T04:00:00Z
76,46,D,2000-02-08,30,0.6,2000-02-08T08:35:00Z
76,46,D,2000-02-08,60,0.3,2000-02-08T08:00:00Z
76,46,D,2000-02-08,120,0.15,2000-02-08T07:00:00Z
76,46,D,2000-02-08,180,0.1,2000-02-08T06:00:00Z
76,46,D,2000-02-08,360,0.1,2000-02-09T02:00:00Z
76,46,D,2000-02-08,720,0.05,2000-02-08T20:00:00Z
76,46,D,2000-02-08,1440,0.038,2000-02-08T08:00:00Z
76,46,D,2000-02-09,5,3.6,2000-02-09T07:35:00Z
76,46,D,2000-02-09,30,0.6,2000-02-09T07:35:00Z
76,46,D,2000-02-09,60,0.3,2000-02-09T07:00:00Z
76,46,D,2000-02-09,120,0.15,2000-02-09T06:00:00Z
76,46,D,2000-02-09,180,0.2,2000-02-10T08:20:00Z
76,46,D,2000-02-09,360,0.1,2000-02-10T06:00:00Z
76,46,D,2000-02-09,720,0.05,2000-02-10T00:00:00Z
76,46,D,2000-02-09,1440,0.05,2000-02-10T01:00:00Z
76,46,D,2000-02-10,5,3.6,2000-02-10T08:20:00Z
76,46,D,2000-02-10,10,1.8,2000-02-10T11:00:00Z
76,46,D,2000-02-10,15,1.2,2000-02-10T11:00:00Z
76,46,D,2000-02-10,30,1.2,2000-02-11T00:00:00Z
76,46,D,2000-02-10,60,0.6,2000-02-11T00:00:00Z
76,46,D,2000-02-10,120,0.3,2000-02-10T23:00:00Z
76,46,D,2000-02-10,180,0.2,2000-02-10T08:20:00Z
76,46,D,2000-02-10,360,0.1,2000-02-10T06:00:00Z
76,46,D,2000-02-10,720,0.1,2000-02-10T19:00:00Z
