Lat,Lon,Elevation
45.9475,-124.278534,0
45.98784,-124.16391,0
46.028053,-124.04913,0
46.06815,-123.93411,5
46.1081,-123.81894,63
46.147926,-123.7036,73
46.18761,-123.588104,0
46.227177,-123.47238,1
46.266594,-123.35651,215
46.305893,-123.24045,427
46.34505,-123.12424,545
46.38408,-123.00781,378
46.422977,-122.891235,51
46.461727,-122.774475,39
46.50035,-122.65753,97
46.53884,-122.54042,128
46.5772,-122.423096,215
46.615417,-122.30565,779
46.6535,-122.188,552
46.691444,-122.07019,839
46.72925,-121.95218,642
46.766926,-121.834,1045
46.804462,-121.71567,1939
46.841854,-121.59714,1529
46.87911,-121.478424,1757
46.91623,-121.35956,1388
46.953205,-121.240524,1436
46.99004,-121.12129,1006
47.026756,-121.00186,1636
47.063313,-120.88229,1373
47.099728,-120.76254,663
47.136005,-120.64264,731
47.172153,-120.52254,1334
47.208145,-120.40227,1437
47.244,-120.2818,1543
47.27971,-120.161194,599
47.315273,-120.040405,363
47.350708,-119.91943,738
47.38599,-119.79831,787
47.421124,-119.677,521
47.456116,-119.55554,748
47.490974,-119.43385,572
47.525677,-119.31204,492
47.560238,-119.19006,513
47.59465,-119.0679,584
47.628925,-118.94556,610
47.663044,-118.823074,627
47.697025,-118.70038,671
47.730846,-118.577545,739
47.764538,-118.45451,745
47.79807,-118.33133,632
47.831455,-118.20801,785
47.86469,-118.0845,652
47.897785,-117.960785,707
47.930725,-117.83693,575
47.963512,-117.71292,720
47.996147,-117.588745,720
48.02864,-117.464386,691
48.060986,-117.33986,663
48.09317,-117.215195,715
48.12521,-117.09033,701
48.157093,-116.96529,720
48.18883,-116.84013,987
48.22041,-116.71478,650
48.251835,-116.589294,640
48.28311,-116.46364,627
48.31424,-116.33777,984
48.34521,-116.21179,1752
48.376022,-116.08563,1684
48.406677,-115.95932,1339
48.437187,-115.832855,695
48.467537,-115.70621,1127
48.497726,-115.57939,934
48.527775,-115.45245,1555
48.557655,-115.32532,1063
48.587383,-115.198044,1209
48.61695,-115.07062,1386
48.646362,-114.94302,1187
48.675625,-114.81525,1143
48.704723,-114.68735,1978
48.73366,-114.559296,1994
48.76244,-114.43109,1355
48.79107,-114.302704,1087
48.81953,-114.174194,1526
48.847828,-114.04552,1732
48.87597,-113.91666,1501
48.90396,-113.78766,1484
48.93178,-113.65854,2003
48.95944,-113.529236,1651
48.986942,-113.39981,1400
49.01428,-113.27023,1271
49.041454,-113.14044,1267
49.068478,-113.01056,1406
49.095325,-112.88052,1266
49.122013,-112.750336,1243
49.14854,-112.619995,1150
45.363712,-126.1492,0
45.406162,-126.03731,0
45.448475,-125.92523,0
45.490685,-125.81296,0
45.532753,-125.70053,0
45.5747,-125.58789,0
45.616528,-125.4751,0
45.658226,-125.36211,0
45.69979,-125.24893,0
45.741234,-125.135605,0
45.78255,-125.022095,0
45.823742,-124.90839,0
45.864803,-124.794495,0
45.90573,-124.680435,0
45.946518,-124.56621,0
45.9872,-124.45178,0
46.027744,-124.33719,0
46.068142,-124.22241,0
46.108433,-124.10748,0
46.14859,-123.99231,0
46.188614,-123.877014,0
46.228497,-123.76152,0
46.268253,-123.64586,97
46.307877,-123.53,257
46.347374,-123.41397,279
46.38673,-123.29776,502
46.425953,-123.1814,452
46.46505,-123.06482,161
46.504,-122.94809,139
46.542828,-122.83116,169
46.58152,-122.714066,155
46.62007,-122.59677,304
46.658497,-122.479324,964
46.696777,-122.361694,1048
46.73492,-122.2439,461
46.772934,-122.12593,836
46.810806,-122.00775,1131
46.848537,-121.889404,1092
46.886143,-121.770905,2475
46.92359,-121.65222,1992
46.96092,-121.533325,894
46.9981,-121.41431,1734
47.035145,-121.295074,1578
47.07205,-121.17569,1168
47.108818,-121.05611,1443
47.145435,-120.93637,1101
47.181923,-120.81645,636
47.21826,-120.69635,787
47.25447,-120.57608,1923
47.290527,-120.45563,1693
47.326435,-120.33501,878
47.362213,-120.21422,267
47.39785,-120.09323,762
47.43334,-119.97211,742
47.46868,-119.8508,628
47.503876,-119.72934,502
47.53894,-119.607666,648
47.573856,-119.48581,778
47.608627,-119.3638,505
47.643246,-119.24164,554
47.67771,-119.11931,574
47.71205,-118.99678,632
47.74623,-118.874084,610
47.78027,-118.75122,683
47.81416,-118.628204,746
47.847908,-118.504974,766
47.881504,-118.38162,603
47.91494,-118.25809,797
47.948235,-118.1344,696
