Lat,Lon,Pcp
45.126106,-125.96707,3.11420501185317
45.168346,-125.855576,3.146060251886313
45.210472,-125.74391,3.184790757647535
45.252472,-125.632034,3.2326970597817892
45.29434,-125.520004,3.2905838589521124
45.336082,-125.40781,3.3437972325919545
45.377712,-125.29538,3.3966910999657567
45.41921,-125.182816,3.4560110427493473
45.460575,-125.07007,3.521815410267859
45.50181,-124.95715,3.587463868644387
45.542927,-124.844055,3.6633072754538025
45.583916,-124.730774,3.756513011785306
45.624775,-124.61731,3.874903009076885
45.6655,-124.50369,4.021228873162495
45.706104,-124.38989,4.232950072978253
45.74658,-124.27588,4.4435486942024776
45.786926,-124.16174,4.863145213241895
45.82713,-124.04739,6.116905542320691
45.86721,-123.93289,7.27089136894333
45.907177,-123.81818,6.986677159929795
45.946995,-123.70332,6.267907251268861
45.98669,-123.58829,5.604698649103826
46.02624,-123.47307,4.91181737360607
46.065674,-123.357666,4.149352002251764
46.10496,-123.242096,3.8427657825141117
46.14413,-123.12634,4.061013969338267
46.18316,-123.01044,4.298894306403895
46.222054,-122.89433,4.271343511762348
46.26082,-122.778046,4.456631819622072
46.299442,-122.66159,5.27949014359511
46.33794,-122.54498,6.246137615011936
46.376293,-122.42816,6.664640752209532
46.414524,-122.31119,6.834149364466591
46.45261,-122.194046,6.408541520834453
46.490562,-122.07672,5.730030031912035
46.528378,-121.95923,6.208105879323386
46.56606,-121.84155,6.5666554644750335
46.603603,-121.723694,6.538021970853012
46.641006,-121.60567,6.07464006866502
46.678276,-121.48747,4.621860539915281
46.715405,-121.369095,3.101701996359427
46.75239,-121.25058,1.9584248711205408
46.78924,-121.13187,1.2856713518572647
46.825954,-121.01297,1.0502523271474247
46.862537,-120.893875,1.078300150306137
46.89897,-120.77466,1.1341226408863823
46.935265,-120.65526,0.9526035478355243
46.971405,-120.53569,0.7896685685331697
47.007427,-120.415924,0.8554553536543806
47.0433,-120.29602,1.1725079841264179
47.07903,-120.1759,1.2037563845187862
47.114613,-120.05565,0.8997067992708472
47.150063,-119.93518,0.6898911646212968
47.185364,-119.814606,0.7564490557303168
47.22052,-119.69382,0.9020198131839863
47.255524,-119.572876,0.8868541765576113
47.290405,-119.45177,0.822112084223576
47.325138,-119.330444,0.8187950822472448
47.35972,-119.209015,0.8819131548111048
47.39415,-119.08737,0.9470537006369343
47.428444,-118.965576,0.9879248815388618
47.462593,-118.84363,1.0483976733922187
47.496593,-118.7215,1.139409699901465
47.53045,-118.59918,1.23705116458464
47.56416,-118.476715,1.2935599068997023
47.597725,-118.354065,1.3382576775842914
47.631134,-118.23128,1.3952571491925367
47.664402,-118.10831,1.4583489577142101
47.697514,-117.98517,1.4924896870339204
47.73049,-117.86185,1.50724216620244
47.76331,-117.73839,1.6171246454083243
47.79598,-117.61476,1.824253179887416
47.8285,-117.49097,1.8898763435616819
47.860874,-117.367004,2.332295077035931
47.8931,-117.24289,3.366564403191268
47.925167,-117.11859,3.8738333173880948
47.957092,-116.99414,3.1311232986830495
47.988865,-116.86951,2.627134213694361
48.020477,-116.74472,2.5501451531874872
48.05194,-116.61981,2.9314643981015958
48.083256,-116.49472,3.4125258932448164
48.114418,-116.369446,4.054683124822595
48.145424,-116.24399,5.943750812549428
48.176277,-116.11841,7.135125604392815
48.206978,-115.992676,5.842068197316854
48.237522,-115.866776,4.59262436239768
48.267918,-115.74069,3.4957631280218506
48.29816,-115.6145,2.2457690747396684
48.32824,-115.48808,1.4173691669708068
48.35817,-115.36157,1.2734637811227487
48.387947,-115.23485,1.5282129124057773
48.417557,-115.108,1.7959024640588122
48.44701,-114.98102,2.16164441717149
48.476322,-114.85385,2.1332683268020705
48.505466,-114.72649,1.8081874210476419
48.534454,-114.59903,2.007539307860967
48.563282,-114.471405,3.0745286135814824
48.59195,-114.34363,3.394193908655626
48.620472,-114.21568,2.685187448813621
48.64883,-114.087585,2.243927877138512
48.67702,-113.95935,4.481653245621998
48.705055,-113.83095,6.421975797629722
48.732933,-113.70239,4.395218405459655
48.76066,-113.5737,2.5963408099962084
48.788204,-113.44487,2.2606819794886044
48.815598,-113.31589,1.956635016034777
48.84284,-113.18674,1.83375490957774
48.86991,-113.05742,1.8018008329244333
48.89683,-112.92798,1.7169670744821606
48.923573,-112.7984,1.6597161622882641
48.95016,-112.66867,1.5962945477490322
48.976585,-112.53879,1.5521179193012686
45.20534,-126.02762,3.102308958037584
45.24765,-125.915985,3.1370240320514298
45.28984,-125.804184,3.1801335341629495
45.331913,-125.69217,3.224748226651478
45.373844,-125.58,3.276885845480942
45.415657,-125.46765,3.3341509222694357
45.45735,-125.35513,3.3884595608897463
45.49891,-125.2424,3.4492946369522155
45.540344,-125.12952,3.5096008488829784
45.581642,-125.01648,3.5699605135335335
45.62283,-124.90323,3.646437375342441
45.66389,-124.789825,3.727436082192222
45.704815,-124.67621,3.826736726660207
45.74561,-124.56244,3.94699196076775
45.786278,-124.4485,4.121073872318852
45.826817,-124.33435,4.308898712615229
45.867226,-124.22006,4.52895479194775
45.9075,-124.10559,5.044248461804494
45.947655,-123.99094,5.8407190545698535
45.987682,-123.87604,6.330253712223138
46.02757,-123.76105,6.089581985367758
46.06732,-123.645874,5.658385490105136
46.106945,-123.53049,5.045100096039669
46.14644,-123.41495,4.51491546076133
46.18579,-123.299225,4.725486611786848
46.22503,-123.18332,5.394426903499349
46.26412,-123.067245,5.158366479500974
46.30308,-122.95099,4.168918032300608
46.341915,-122.83455,3.733260474172166
46.3806,-122.71796,4.237110679813101
46.419163,-122.60118,5.050411573525174
