Lat,Lon,Pcp
45.126106,-125.96707,2.9591800089969675
45.168346,-125.855576,2.9781820786136572
45.210472,-125.74391,3.0070590937772668
45.252472,-125.632034,3.0446344863354327
45.29434,-125.520004,3.0837872165313787
45.336082,-125.40781,3.127825219324909
45.377712,-125.29538,3.1744098155702565
45.41921,-125.182816,3.2235685191463417
45.460575,-125.07007,3.275787596539175
45.50181,-124.95715,3.341463651991289
45.542927,-124.844055,3.4167964460668396
45.583916,-124.730774,3.4951058310031566
45.624775,-124.61731,3.5867527336575598
45.6655,-124.50369,3.7090242723651934
45.706104,-124.38989,3.867217156878273
45.74658,-124.27588,4.088654546587386
45.786926,-124.16174,4.586621123093275
45.82713,-124.04739,5.477076922324292
45.86721,-123.93289,6.232899083988638
45.907177,-123.81818,6.240921698881037
45.946995,-123.70332,5.69237686142162
45.98669,-123.58829,5.018423141068544
46.02624,-123.47307,4.323200517279557
46.065674,-123.357666,3.7532041625852366
46.10496,-123.242096,3.5068721894841017
46.14413,-123.12634,3.5659059549551753
46.18316,-123.01044,3.585202878883981
46.222054,-122.89433,3.577022421588521
46.26082,-122.778046,3.860811759133793
46.299442,-122.66159,4.505499037581728
46.33794,-122.54498,5.232724628010156
46.376293,-122.42816,5.750758011807451
46.414524,-122.31119,5.897523568227738
46.45261,-122.194046,5.5470046588026305
46.490562,-122.07672,5.0806353823987775
46.528378,-121.95923,5.052072068502796
46.56606,-121.84155,5.4084001217680635
46.603603,-121.723694,5.590354940950042
46.641006,-121.60567,5.198849736522929
46.678276,-121.48747,4.074776134602712
46.715405,-121.369095,2.746084652393702
46.75239,-121.25058,1.751226446726104
46.78924,-121.13187,1.1782614542416825
46.825954,-121.01297,0.9348672704200902
46.862537,-120.893875,0.891101141456836
46.89897,-120.77466,0.8700908649762928
46.935265,-120.65526,0.7781777166085899
46.971405,-120.53569,0.7038555584175193
47.007427,-120.415924,0.7999831605608089
47.0433,-120.29602,0.9591402464815187
47.07903,-120.1759,0.9391293520049226
47.114613,-120.05565,0.7477321658147729
47.150063,-119.93518,0.6069531303006723
47.185364,-119.814606,0.6164789539360459
47.22052,-119.69382,0.6779053861832445
47.255524,-119.572876,0.6859456052165613
47.290405,-119.45177,0.6619177939216858
47.325138,-119.330444,0.6662497096937737
47.35972,-119.209015,0.7028633791288327
47.39415,-119.08737,0.749692234155691
47.428444,-118.965576,0.7938088727974879
47.462593,-118.84363,0.84702853700645
47.496593,-118.7215,0.9182615832995153
47.53045,-118.59918,0.9929812262237707
47.56416,-118.476715,1.0523033706987392
47.597725,-118.354065,1.0942055191964737
47.631134,-118.23128,1.1344276131774886
47.664402,-118.10831,1.1763046938241224
47.697514,-117.98517,1.2080842093001967
47.73049,-117.86185,1.231904691569702
47.76331,-117.73839,1.2838056104513829
47.79598,-117.61476,1.3634150931528954
47.8285,-117.49097,1.482983342241353
47.860874,-117.367004,1.8116118336733535
47.8931,-117.24289,2.3353050026209425
47.925167,-117.11859,2.5955477819794464
47.957092,-116.99414,2.3530469455605876
47.988865,-116.86951,2.0391908339591405
48.020477,-116.74472,2.0289198043689836
48.05194,-116.61981,2.3108367667144747
48.083256,-116.49472,2.710603598424264
48.114418,-116.369446,3.328765244798911
48.145424,-116.24399,4.282632198438166
48.176277,-116.11841,4.837086461033126
48.206978,-115.992676,4.399582927430477
48.237522,-115.866776,3.4945570734866
48.267918,-115.74069,2.6077199350264237
48.29816,-115.6145,1.7752931231554578
48.32824,-115.48808,1.2075565793495533
48.35817,-115.36157,1.0599225674168735
48.387947,-115.23485,1.1793493557760444
48.417557,-115.108,1.3864844556470675
48.44701,-114.98102,1.5519861697675679
48.476322,-114.85385,1.5473079874529772
48.505466,-114.72649,1.4882635453526667
48.534454,-114.59903,1.696065620020805
48.563282,-114.471405,2.1357981573336833
48.59195,-114.34363,2.2894090783666954
48.620472,-114.21568,2.0447795442086814
48.64883,-114.087585,2.23027914557757
48.67702,-113.95935,3.383133491882145
48.705055,-113.83095,4.185396118447666
48.732933,-113.70239,3.4720067098236647
48.76066,-113.5737,2.2980826091579076
48.788204,-113.44487,1.6627767319760807
48.815598,-113.31589,1.38094802228991
48.84284,-113.18674,1.238263015425479
48.86991,-113.05742,1.1683006087814698
48.89683,-112.92798,1.1124207498615855
48.923573,-112.7984,1.0684628561369258
48.95016,-112.66867,1.0353083151718707
48.976585,-112.53879,1.019161639939044
45.20534,-126.02762,2.955731818335631
45.24765,-125.915985,2.9820442814846535
45.28984,-125.804184,3.0133144317513816
45.331913,-125.69217,3.0482168834256704
45.373844,-125.58,3.090522265516429
45.415657,-125.46765,3.1363276644226445
45.45735,-125.35513,3.1825557949330303
45.49891,-125.2424,3.2331338813470087
45.540344,-125.12952,3.2983257046962464
45.581642,-125.01648,3.354257956740795
45.62283,-124.90323,3.418575604620021
45.66389,-124.789825,3.4889266335190747
45.704815,-124.67621,3.5699543903377733
45.74561,-124.56244,3.679469042752063
45.786278,-124.4485,3.8199798178250783
45.826817,-124.33435,3.995413887817288
45.867226,-124.22006,4.2909780950507805
45.9075,-124.10559,4.810659407763354
45.947655,-123.99094,5.370082053892384
45.987682,-123.87604,5.610183677026004
46.02757,-123.76105,5.451359540913956
46.06732,-123.645874,5.046239004336394
46.106945,-123.53049,4.577841347473075
46.14644,-123.41495,4.29160785422949
46.18579,-123.299225,4.384058864288204
46.22503,-123.18332,4.53919108828047
46.26412,-123.067245,4.221453479301155
46.30308,-122.95099,3.5990796705293238
46.341915,-122.83455,3.3248360298728503
46.3806,-122.71796,3.67246938152212
