GridCell,Lat,Lon,μ,ϕ,ξ,q
1390,47.883460998535156,-121.43060302734375,126.64262329965943,3.6244141014575444,-0.10553223637025351,135.88394708052792
1391,47.92052459716797,-121.30914306640625,105.77365562605596,3.4127248660015366,0.018032596512420677,116.18648289249262
1392,47.957435607910156,-121.1875,86.80291399815616,3.269182315127234,0.029572902188795276,96.95224395179856
1393,47.99422073364258,-121.06564331054688,73.29057732286948,3.175017499960808,-0.048083962446043134,82.07852495602619
1394,48.030845642089844,-120.94363403320312,59.73297208341347,2.9236064387974317,-0.036780907897181615,67.95913456400058
1395,48.067344665527344,-120.8214111328125,45.357968460468356,2.7176793347342665,-0.0006248668303655892,53.42252058437836
1396,48.10368728637695,-120.69903564453125,35.83133997185029,2.410563917562769,0.06306356122316466,43.705648801433114
1397,48.139892578125,-120.57646179199219,32.61216674497985,2.239523161491834,-0.0629327007068253,38.679291822268326
1398,48.17594909667969,-120.45370483398438,29.39034996372726,2.168169261644288,0.09893752744860265,36.876377656343905
1399,48.21186065673828,-120.33079528808594,25.442455949688913,2.1552834249411057,0.3424006493883188,36.55170449356092
1400,48.24763107299805,-120.20768737792969,23.251122840389144,2.0235882035136896,0.2964411609792954,32.8903442915671
1401,48.28324508666992,-120.08438110351562,21.445582301069283,1.8581576975912129,0.2666217019726413,29.861861774715358
1402,48.31873321533203,-119.96090698242188,23.456701472231764,1.8711088092758514,0.18813664199875751,30.901661735646965
1403,48.35405731201172,-119.83724975585938,26.405479730145537,1.903573554402331,0.23514900538251204,34.58655459729675
1404,48.38924789428711,-119.71340942382812,25.7828083047699,1.936053604402375,0.1062531387911575,32.544155485925344
1405,48.424278259277344,-119.58941650390625,22.51804288167752,1.8799102220610138,-0.1065251082926107,27.304637722405207
1406,48.45916748046875,-119.46519470214844,20.654745900055257,1.9153321803443912,-0.17809029495528855,25.072664285979844
1407,48.49391174316406,-119.3408203125,21.108103074727776,1.9245860829546235,0.03675559287800141,27.1482045174413
1408,48.52850341796875,-119.21627807617188,23.26861663082294,1.8973142369508866,0.12313849062436988,30.072593219226345
1409,48.562950134277344,-119.09153747558594,24.167812297063826,1.904113756923465,0.1293280943532876,31.06317991333741
1410,48.59725570678711,-118.96661376953125,22.993693198703248,1.9013684257626462,0.0865389573393774,29.433326997841615
1411,48.63139724731445,-118.841552734375,21.470154384897903,1.8298394351090796,0.006863714620186388,26.960913493424947
1412,48.66539001464844,-118.71627807617188,21.36463707079657,1.7955185827010347,-0.01192309806358097,26.604350806455873
1413,48.69923782348633,-118.59085083007812,23.32101355800706,1.7157238643512707,0.054322889251435455,28.85120291427782
1414,48.73294448852539,-118.46517944335938,25.818651644483744,1.8070954945277875,0.07589971619758037,31.839232345753885
1415,48.766483306884766,-118.33938598632812,26.739383966564056,1.9375506722008358,0.04925443957782008,32.93654681195524
1416,48.79987716674805,-118.21343994140625,25.445178527926778,1.8454461183861481,0.061896074030300535,31.462717221749923
1417,48.83311462402344,-118.08729553222656,23.469424725256907,1.571197488773547,0.18224450336366194,29.66165675328583
1418,48.8662109375,-117.9609375,23.13095221558334,1.463216966796984,0.4077647879554931,31.589899367013356
1419,48.89915084838867,-117.83444213867188,26.253452009097394,1.8277292253135138,0.19371608416003316,33.592032747046765
1420,48.93192672729492,-117.70779418945312,28.53804473976091,1.935445033653456,0.1542601479060032,35.830120552788195
1421,48.964569091796875,-117.5809326171875,29.18174170186626,1.9886381352706253,0.10774145385417838,36.14291265406853
1422,48.997047424316406,-117.45388793945312,30.346759358297568,1.9136964491077215,0.1957110697510176,38.05549789641731
1423,49.02936553955078,-117.32669067382812,33.695268937512395,1.946370785889789,0.09328951709203816,40.35670619183977
1424,49.06153869628906,-117.19931030273438,38.49706340376417,2.1102994315175376,-0.08150661744028524,44.06404529947252
1425,49.09355545043945,-117.07177734375,40.96663269668949,2.1821328988256514,-0.0357214061878205,47.11600314526588
1426,49.12541580200195,-116.94407653808594,39.055007437121986,2.099187733893287,0.051184308341241165,45.78890891810898
1427,49.157127380371094,-116.81614685058594,34.95739121726247,2.0966678066418067,-0.04166598748827316,40.814974007677876
1428,49.18867874145508,-116.68809509277344,31.445132142451612,1.9650170271378782,-0.1060317878736491,36.45189868838972
1429,49.22007369995117,-116.55987548828125,30.02185591493153,1.9040559677633602,-0.04361779667622266,35.326255434967116
1430,49.25130844116211,-116.43147277832031,31.0658972267791,2.0328005876968342,0.006452658853819026,37.16194263121901
1431,49.28239440917969,-116.30288696289062,33.71595508834654,2.173797900185117,0.019187407619339812,40.360086776840284
1432,49.31331253051758,-116.17416381835938,31.489936875165817,2.164346564651727,0.11056309686958868,39.09970416992936
1433,49.344085693359375,-116.04522705078125,28.618534403857456,2.2277370926628883,0.021152022896901587,35.44762338024482
1434,49.374698638916016,-115.9161376953125,25.633501508635607,2.1816758089363746,0.05035890876613587,32.623224451107866
